Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TACN,Monte Carlo,BUY,920.3,1,99078.7797,100008.4297,8.429699999993318e-05,1
2025-01-02,TACN,Monte Carlo,BUY,929.65,2,98148.20005,100027.10005,0.00018668776278166405,1
2025-01-03,TACN,Monte Carlo,BUY,939.45,3,97207.8106,100048.5106,0.00021404749302237234,1
2025-01-06,TACN,Monte Carlo,BUY,946.9,4,96259.9637,100079.9637,0.0003143784931067111,1
2025-01-07,TACN,Monte Carlo,BUY,955.0,5,95304.00869999999,100112.00869999999,0.0003201939610615412,1
2025-01-08,TACN,Monte Carlo,BUY,961.6,6,94341.44709999999,100162.0471,0.0004998241534634688,1
2025-01-09,TACN,Monte Carlo,BUY,970.1,7,93370.377,100179.977,0.0001790089212344265,1
2025-01-10,TACN,Monte Carlo,BUY,972.8,8,92396.60419999999,100120.2042,-0.0005966541597429804,1
2025-01-13,TACN,Monte Carlo,BUY,965.45,9,91430.18874999999,100098.53874999999,-0.0002163943848608373,1
2025-01-14,TACN,Monte Carlo,BUY,963.15,10,90466.07559999998,100021.57559999998,-0.0007688738613080954,1
2025-01-15,TACN,Monte Carlo,BUY,955.55,11,89509.57004999998,99824.27004999998,-0.001972629893264795,1
2025-01-16,TACN,Monte Carlo,BUY,937.7,12,88570.93234999997,100024.33234999998,0.002004144882800524,1
2025-01-17,TACN,Monte Carlo,BUY,954.45,13,87615.52789999997,100099.42789999997,0.0007507728193297322,1
2025-01-20,TACN,Monte Carlo,BUY,960.3,14,86654.26759999998,100263.66759999997,0.001640765621198976,1
2025-01-21,TACN,Monte Carlo,BUY,972.1,15,85681.19549999997,100192.19549999997,-0.0007128414680094853,1
2025-01-22,TACN,Monte Carlo,BUY,967.4,16,84712.82809999997,100455.22809999996,0.002625280329344529,1
2025-01-23,TACN,Monte Carlo,BUY,983.9,17,83727.94419999997,100597.89419999997,0.0014201958693278029,1
2025-01-24,TACN,Monte Carlo,BUY,992.35,18,82734.60184999996,100119.00184999996,-0.0047604609799079605,1
2025-01-27,TACN,Monte Carlo,BUY,965.8,19,81767.83604999997,100031.58604999997,-0.0008731189722701772,1
2025-01-28,TACN,Monte Carlo,BUY,961.25,20,80805.62479999998,100015.62479999998,-0.00015956210063504256,1
2025-01-29,TACN,Monte Carlo,BUY,960.5,21,79844.16429999997,100144.86429999997,0.0012921930974128762,1
2025-01-30,TACN,Monte Carlo,BUY,966.7,22,78876.49759999997,101418.79759999998,0.012720904950090432,1
2025-01-31,TACN,Monte Carlo,BUY,1024.65,23,77850.82294999997,102457.37294999998,0.010240462069923016,1
2025-02-01,TACN,Monte Carlo,SELL,1069.85,22,78919.60309999998,101718.20309999998,-0.007214413455249453,1
2025-02-03,TACN,Monte Carlo,BUY,1036.3,23,77882.26679999998,101668.86679999999,-0.0004850292130258384,1
2025-02-04,TACN,Monte Carlo,SELL,1034.2,22,78915.43259999999,101252.03259999998,-0.004099919799637347,1
