Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TACN,SARSA,BUY,920.3,1,99078.7797,100008.4297,8.429699999993318e-05,1
2025-01-07,TACN,SARSA,SELL,955.0,0,100032.8247,100032.8247,-9.546775128019543e-06,0
2025-01-08,TACN,SARSA,BUY,961.6,1,99070.2631,100040.3631,7.535926354786733e-05,1
2025-01-09,TACN,SARSA,SELL,970.1,0,100039.393,100039.393,-9.697085955557812e-06,0
2025-01-10,TACN,SARSA,BUY,972.8,1,99065.62019999999,100031.07019999999,-8.319522690435568e-05,1
2025-01-13,TACN,SARSA,SELL,965.45,0,100030.10474999998,100030.10474999998,-9.651501259289032e-06,0
2025-01-14,TACN,SARSA,BUY,963.15,1,99065.99159999998,100021.54159999998,-8.560572860943416e-05,1
2025-01-15,TACN,SARSA,SELL,955.55,0,100020.58604999998,100020.58604999998,-9.553442035718096e-06,0
2025-01-16,TACN,SARSA,BUY,937.7,1,99081.94834999998,100036.39834999997,0.0001580904554197071,1
2025-01-17,TACN,SARSA,SELL,954.45,0,100035.44389999998,100035.44389999998,-9.541027223419373e-06,0
2025-01-20,TACN,SARSA,BUY,960.3,1,99074.18359999999,100046.2836,0.00010835859348859614,1
2025-01-21,TACN,SARSA,SELL,972.1,0,100045.3115,100045.3115,-9.716502852676133e-06,0
2025-01-22,TACN,SARSA,BUY,967.4,1,99076.9441,100060.84409999999,0.00015525565133545877,1
2025-01-29,TACN,SARSA,BUY,960.5,2,98115.48359999999,100048.88359999999,0.0001143521818546055,1
2025-01-31,TACN,SARSA,SELL,1024.65,1,99139.10895,100208.95895,0.0004410267602275835,1
2025-02-01,TACN,SARSA,BUY,1069.85,2,98068.18909999999,100140.7891,-0.0006802770003230902,1
2025-02-03,TACN,SARSA,SELL,1036.3,1,99103.45279999998,100137.65279999998,-3.131890639368701e-05,1
2025-02-04,TACN,SARSA,BUY,1034.2,2,98068.21859999998,100098.81859999998,-0.0003878081711936982,1
2025-02-05,TACN,SARSA,SELL,1015.3,1,99082.50329999998,100105.85329999999,7.027755270633929e-05,1
2025-02-06,TACN,SARSA,SELL,1023.35,0,100104.82994999998,100104.82994999998,-1.0222678957006804e-05,0
2025-02-07,TACN,SARSA,BUY,1021.2,1,99082.60874999998,100110.10874999998,5.2732720315659925e-05,1
2025-02-10,TACN,SARSA,SELL,1027.5,0,100109.08124999999,100109.08124999999,-1.0263698769546164e-05,0
2025-02-11,TACN,SARSA,BUY,1013.8,1,99094.26744999998,100124.01744999998,0.00014919925159133816,1
2025-02-12,TACN,SARSA,SELL,1029.75,0,100122.98769999998,100122.98769999998,-1.0284745121376604e-05,0
2025-02-13,TACN,SARSA,BUY,1022.8,1,99099.16489999999,100121.71489999999,-1.2712365354150818e-05,1
2025-02-14,TACN,SARSA,SELL,1022.55,0,100120.69234999998,100120.69234999998,-1.0213069173156739e-05,0
2025-02-17,TACN,SARSA,BUY,1023.25,1,99096.41909999998,100123.36909999998,2.6735232619460804e-05,1
2025-02-18,TACN,SARSA,SELL,1026.95,0,100122.34214999998,100122.34214999998,-1.0256846221123496e-05,0
2025-02-19,TACN,SARSA,BUY,1025.3,1,99096.01684999999,100104.91684999998,-0.00017404007562963917,1
2025-02-21,TACN,SARSA,BUY,1004.0,2,98091.01284999998,100095.81284999999,-4.199799492838852e-05,1
2025-02-24,TACN,SARSA,BUY,1002.4,3,97087.61044999998,100102.16044999998,6.341524005110961e-05,1
2025-02-25,TACN,SARSA,BUY,1004.85,4,96081.75559999997,100113.75559999997,0.00011583316431802086,1
2025-02-27,TACN,SARSA,BUY,1008.0,5,95072.74759999997,99891.24759999997,-0.002222551722952262,1
2025-03-03,TACN,SARSA,SELL,953.9,4,96025.69369999997,99843.89369999997,1.6487008651817594e-05,1
2025-03-04,TACN,SARSA,SELL,954.55,3,96979.28914999997,99849.68914999996,5.804511207669904e-05,1
2025-03-05,TACN,SARSA,SELL,956.8,2,97935.13234999997,99851.43234999997,1.7458241631508494e-05,1
2025-03-06,TACN,SARSA,SELL,958.15,1,98892.32419999997,99854.37419999998,2.9462271404290857e-05,1
2025-03-07,TACN,SARSA,SELL,962.05,0,99853.41214999997,99853.41214999997,-9.634530361934904e-06,0
2025-03-10,TACN,SARSA,BUY,957.3,1,98895.15484999998,99855.00484999998,1.59503813211288e-05,1
2025-03-11,TACN,SARSA,SELL,959.85,0,99854.04499999998,99854.04499999998,-9.612437568263545e-06,0
2025-03-12,TACN,SARSA,BUY,945.45,1,98907.64954999999,99853.74955,-2.958818543510419e-06,1
2025-03-13,TACN,SARSA,SELL,946.1,0,99852.80344999999,99852.80344999999,-9.474857021040373e-06,0
2025-03-17,TACN,SARSA,BUY,940.45,1,98911.41299999999,99858.26299999999,5.467598115793895e-05,1
2025-03-18,TACN,SARSA,SELL,946.85,0,99857.31614999998,99857.31614999998,-9.481939416546268e-06,0
2025-03-19,TACN,SARSA,BUY,949.85,1,98906.51629999999,99872.3663,0.0001507165481736216,1
2025-03-20,TACN,SARSA,BUY,965.85,2,97939.70044999999,99862.10044999998,-0.00010278969429014809,1
2025-03-21,TACN,SARSA,BUY,961.2,3,96977.53924999999,99888.88925,0.00026825792647353997,1
2025-03-26,TACN,SARSA,BUY,959.65,4,96016.92959999999,99911.12959999999,0.0005471887747145236,1
2025-04-02,TACN,SARSA,BUY,1062.7,5,94953.16689999998,100308.16689999998,0.0004032932645558826,1
2025-04-03,TACN,SARSA,BUY,1071.0,6,93881.09589999999,100408.19589999999,0.000997216907569762,1
2025-04-04,TACN,SARSA,BUY,1087.85,7,92792.15804999998,100123.60804999998,-0.002834308967003468,1
2025-04-07,TACN,SARSA,BUY,1047.35,8,91743.76069999998,100301.76069999998,0.0017793271084581503,1
2025-04-08,TACN,SARSA,BUY,1069.75,9,90672.94094999999,100480.69094999999,0.001783919332534757,1
2025-04-09,TACN,SARSA,BUY,1089.75,10,89582.10119999999,100561.10119999999,0.0008002557430662336,1
2025-04-11,TACN,SARSA,BUY,1097.9,11,88483.10329999999,100620.50329999998,0.0005907065385237852,1
