Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TACN,Value Iteration,BUY,920.3,1,99078.7797,100008.4297,8.429699999993318e-05,1
2025-01-29,TACN,Value Iteration,BUY,960.5,2,98117.3192,100050.71919999999,0.00011435008363013166,1
2025-01-31,TACN,Value Iteration,BUY,1024.65,3,97091.64455,100301.19455,0.0013435149461448446,1
2025-02-03,TACN,Value Iteration,BUY,1036.3,4,96054.30825,100191.10825,-9.417413889679963e-05,1
2025-02-05,TACN,Value Iteration,BUY,1015.3,5,95037.99295,100154.74295,0.00039189432971790245,1
2025-02-06,TACN,Value Iteration,BUY,1023.35,6,94013.6196,100140.8196,-0.00013901837885948364,1
2025-02-07,TACN,Value Iteration,BUY,1021.2,7,92991.3984,100183.8984,0.00043018221911979396,1
2025-02-10,TACN,Value Iteration,BUY,1027.5,8,91962.87090000001,100073.2709,-0.0011042443123774701,1
2025-02-11,TACN,Value Iteration,BUY,1013.8,9,90948.0571,100215.8071,0.0014243183890974656,1
2025-02-12,TACN,Value Iteration,BUY,1029.75,10,89917.27735,100145.27735,-0.0007037786956066086,1
2025-02-13,TACN,Value Iteration,BUY,1022.8,11,88893.45455000001,100141.50455000001,-3.76732692726578e-05,1
2025-02-14,TACN,Value Iteration,BUY,1022.55,12,87869.88200000001,100148.88200000001,7.367025323966888e-05,1
2025-02-17,TACN,Value Iteration,BUY,1023.25,13,86845.60875000001,100195.95875000002,0.00047006765387563133,1
2025-02-18,TACN,Value Iteration,BUY,1026.95,14,85817.63180000002,100171.83180000001,-0.0002407976359625912,1
2025-02-19,TACN,Value Iteration,BUY,1025.3,15,84791.30650000002,99924.80650000002,-0.0024660156010044517,1
2025-02-20,TACN,Value Iteration,BUY,1008.9,16,83781.39760000003,99845.39760000003,-0.0007946865526329028,1
2025-02-21,TACN,Value Iteration,SELL,1004.0,15,84784.39360000002,99820.39360000002,-0.00025042716640952923,1
2025-02-24,TACN,Value Iteration,SELL,1002.4,14,85785.79120000002,99853.69120000002,0.0003335751222683094,1
2025-02-25,TACN,Value Iteration,SELL,1004.85,13,86789.63635000002,99893.63635000002,0.00040003678902557734,1
2025-02-27,TACN,Value Iteration,SELL,1008.0,12,87796.62835000001,99361.02835000001,-0.005331751045020471,1
2025-02-28,TACN,Value Iteration,BUY,963.7,13,86831.96465000001,99232.66465,-0.0012918918224944247,1
2025-03-03,TACN,Value Iteration,SELL,953.9,12,87784.91075000001,99239.51075000002,6.899038763250377e-05,1
2025-03-04,TACN,Value Iteration,SELL,954.55,11,88738.5062,99263.3062,0.00023977798580582504,1
2025-03-05,TACN,Value Iteration,SELL,956.8,10,89694.3494,99275.8494,0.00012636290770657476,1
2025-03-06,TACN,Value Iteration,SELL,958.15,9,90651.54125000001,99309.99125,0.00034390891849674744,1
2025-03-07,TACN,Value Iteration,SELL,962.05,8,91612.62920000001,99271.0292,-0.0003923275947323367,1
2025-03-10,TACN,Value Iteration,SELL,957.3,7,92568.9719,99287.9219,0.00017016747117593793,1
2025-03-11,TACN,Value Iteration,SELL,959.85,6,93527.86205000001,99200.56205000001,-0.0008798638175545646,1
2025-03-12,TACN,Value Iteration,SELL,945.45,5,94472.36660000001,99202.86660000001,2.323121918239923e-05,1
2025-03-13,TACN,Value Iteration,SELL,946.1,4,95417.52050000001,99179.32050000002,-0.00023735302019984463,1
2025-03-17,TACN,Value Iteration,SELL,940.45,3,96357.03005000002,99197.58005000002,0.00018410642367732786,1
2025-03-18,TACN,Value Iteration,SELL,946.85,2,97302.93320000001,99202.63320000001,5.094025476675381e-05,1
2025-03-19,TACN,Value Iteration,SELL,949.85,1,98251.83335000002,99217.68335000002,0.0001517111946985096,1
2025-03-20,TACN,Value Iteration,BUY,965.85,2,97285.01750000002,99207.41750000001,-0.00010346794697671889,1
2025-03-21,TACN,Value Iteration,BUY,961.2,3,96322.85630000001,99234.20630000002,0.00027002819622846605,1
2025-03-26,TACN,Value Iteration,BUY,959.65,4,95362.24665000002,99256.44665000001,0.0005507999505045452,1
2025-05-08,TACN,Value Iteration,BUY,1116.0,5,94245.13065000002,99813.63065000002,-0.0001263795887691479,1
2025-05-09,TACN,Value Iteration,BUY,1113.7,6,93130.31695000002,100003.91695000003,0.0019064159750610875,1
2025-05-13,TACN,Value Iteration,BUY,1118.6,7,92010.59835000003,99853.39835000003,0.00011499578885042843,1
2025-05-14,TACN,Value Iteration,BUY,1120.4,8,90889.07795000004,100066.67795000004,0.0021359273046715377,1
2025-05-20,TACN,Value Iteration,BUY,1128.5,9,89759.44945000003,100008.64945000003,0.0009164749598243319,1
2025-05-21,TACN,Value Iteration,BUY,1138.8,10,88619.51065000003,99886.51065000003,-0.001221282365792418,1
2025-05-22,TACN,Value Iteration,BUY,1126.7,11,87491.68395000002,100040.48395000002,0.0015414824183769583,1
2025-05-23,TACN,Value Iteration,BUY,1140.8,12,86349.74315000002,100105.34315000003,0.0006483295305970601,1
2025-05-27,TACN,Value Iteration,BUY,1138.4,13,85210.20475000002,99788.40475000002,-0.0022211498208427704,1
2025-05-28,TACN,Value Iteration,BUY,1121.4,14,84087.68335000002,99624.88335000002,-0.0016386813719456497,1
2025-05-29,TACN,Value Iteration,BUY,1109.8,15,82976.77355000003,99571.27355000003,-0.0005381165648309998,1
2025-05-30,TACN,Value Iteration,BUY,1106.3,16,81869.36725000002,99795.76725000003,0.0022546030797454463,1
2025-06-02,TACN,Value Iteration,BUY,1120.4,17,80747.84685000003,99696.04685000003,-0.0009992447851039051,1
2025-06-03,TACN,Value Iteration,BUY,1114.6,18,79632.13225000002,99871.33225000002,0.0017581980985035752,1
2025-06-04,TACN,Value Iteration,BUY,1124.4,19,78506.60785000003,99632.70785000004,-0.002389318282073743,1
2025-06-05,TACN,Value Iteration,BUY,1111.9,20,77393.59595000003,99705.59595000003,0.0007315679918057799,1
2025-06-06,TACN,Value Iteration,BUY,1115.6,21,76276.88035000004,99822.08035000003,0.0011682834738625436,1
2025-06-09,TACN,Value Iteration,BUY,1121.2,22,75154.55915000003,99686.75915000003,-0.001355623921336215,1
2025-06-10,TACN,Value Iteration,BUY,1115.1,23,74038.34405000003,99437.24405000002,-0.0025029913915102344,1
2025-06-11,TACN,Value Iteration,BUY,1104.3,24,72932.93975000003,98975.33975000003,-0.004645184049627676,1
2025-06-12,TACN,Value Iteration,SELL,1085.1,23,74016.95465000003,98820.15465000003,-0.0015679168204118478,1
2025-06-13,TACN,Value Iteration,SELL,1078.4,22,75094.27625000002,98929.07625000003,0.0011022204972839663,1
2025-06-16,TACN,Value Iteration,SELL,1083.4,21,76176.59285000003,98680.19285000002,-0.0025157760431428876,1
2025-06-17,TACN,Value Iteration,BUY,1071.6,22,75103.92125000003,98538.32125000004,-0.001437690745250545,1
2025-06-18,TACN,Value Iteration,BUY,1065.2,23,74037.65605000003,99068.55605000003,0.005381000947385136,1
2025-06-19,TACN,Value Iteration,BUY,1088.3,24,72948.26775000003,99353.06775000003,0.002871866829838615,1
2025-06-20,TACN,Value Iteration,BUY,1100.2,25,71846.96755000003,99581.96755000003,0.00230390268950703,1
2025-06-30,TACN,Value Iteration,BUY,1098.9,26,70746.96865000002,99232.56865000003,-0.0008749432728911172,1
2025-07-01,TACN,Value Iteration,BUY,1095.6,27,69650.27305000002,99236.87305000002,4.337688783584279e-05,1
2025-07-02,TACN,Value Iteration,BUY,1095.8,28,68553.37725000002,99056.57725000003,-0.0018168226633778698,1
2025-07-03,TACN,Value Iteration,BUY,1089.4,29,67462.88785000001,99064.18785000002,7.683083961984385e-05,1
2025-07-04,TACN,Value Iteration,BUY,1089.7,30,66372.09815000002,99429.09815000002,0.003683574336192402,1
2025-07-10,TACN,Value Iteration,BUY,1088.9,31,65282.10925000002,98662.90925000003,-0.003798387778433074,1
2025-07-11,TACN,Value Iteration,BUY,1076.8,32,64204.232450000025,98501.83245000002,-0.00163259730758456,1
2025-07-14,TACN,Value Iteration,BUY,1071.8,33,63131.360650000024,98830.76065000003,0.003339310465792348,1
2025-07-15,TACN,Value Iteration,BUY,1081.8,34,62048.47885000002,98819.47885000001,-0.00011415271850395871,1
2025-07-16,TACN,Value Iteration,SELL,1081.5,33,63128.89735000002,99620.29735000002,0.008103852695029756,1
2025-07-18,TACN,Value Iteration,BUY,1095.9,34,62031.90145000002,99102.10145000002,-0.0019285825582993539,1
2025-07-21,TACN,Value Iteration,BUY,1090.3,35,60940.51115000002,98908.51115000002,-0.0019534429357955475,1
2025-07-22,TACN,Value Iteration,BUY,1084.8,36,59854.62635000002,98108.22635000001,-0.008091162132511874,1
2025-07-23,TACN,Value Iteration,BUY,1062.6,37,58790.96375000002,98484.56375000002,0.0038359413272585773,1
2025-07-24,TACN,Value Iteration,BUY,1072.8,38,57717.09095000002,97784.29095000002,-0.007110482834422785,1
2025-07-25,TACN,Value Iteration,BUY,1054.4,39,56661.63655000002,97997.73655000003,0.00218282096159134,1
2025-07-28,TACN,Value Iteration,BUY,1059.9,40,55600.676650000016,98064.67665000001,0.0006830780215604679,1
2025-07-29,TACN,Value Iteration,BUY,1061.6,41,54538.015050000016,98535.11505000002,0.00479722583167273,1
2025-07-30,TACN,Value Iteration,BUY,1073.1,42,53463.84195000002,98538.24195000003,3.173386460670635e-05,1
2025-07-31,TACN,Value Iteration,BUY,1073.2,43,52389.56875000001,98416.76875000002,-0.0012327518493951333,1
2025-08-01,TACN,Value Iteration,BUY,1070.4,44,51318.098350000015,98512.49835000001,0.0009726960274743979,1
2025-08-04,TACN,Value Iteration,BUY,1072.6,45,50244.42575000002,98151.42575000001,-0.003665246603706701,1
2025-08-05,TACN,Value Iteration,BUY,1064.6,46,49178.76115000002,97607.56115000002,-0.005541076921136688,1
2025-08-06,TACN,Value Iteration,SELL,1052.8,45,50230.50835000002,97606.50835000002,-1.0786049642066441e-05,1
2025-08-07,TACN,Value Iteration,SELL,1052.8,44,51282.255550000016,97526.25555000002,-0.0008222074670700175,1
2025-08-08,TACN,Value Iteration,BUY,1051.0,45,50230.20455000002,97889.70455000001,0.003726678502628036,1
