Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TAMO,SARSA,BUY,453.58,1,99545.96642,100009.10642,9.106419999996432e-05,1
2025-01-02,TAMO,SARSA,BUY,463.14,2,99082.36327999999,100039.34327999999,0.00030234106755245595,1
2025-01-03,TAMO,SARSA,SELL,478.49,1,99560.37478999999,100030.29478999999,-9.044931427303788e-05,1
2025-01-06,TAMO,SARSA,SELL,469.92,0,100029.82486999998,100029.82486999998,-4.697776818410046e-06,0
2025-01-07,TAMO,SARSA,BUY,480.21,1,99549.13465999998,100030.37465999999,5.496260747422996e-06,1
2025-01-08,TAMO,SARSA,SELL,481.24,0,100029.89341999998,100029.89341999998,-4.810938693811509e-06,0
2025-01-09,TAMO,SARSA,BUY,472.25,1,99557.17116999997,100026.12116999997,-3.7711226824668964e-05,1
2025-01-10,TAMO,SARSA,SELL,468.95,0,100025.65221999997,100025.65221999997,-4.688275367570646e-06,0
2025-01-13,TAMO,SARSA,BUY,454.64,1,99570.55757999998,100036.99757999998,0.00011342450409674144,1
2025-01-14,TAMO,SARSA,SELL,466.44,0,100036.53113999998,100036.53113999998,-4.662674923153026e-06,0
2025-01-15,TAMO,SARSA,BUY,462.26,1,99573.80887999998,100042.57887999999,6.045531498433635e-05,1
2025-01-16,TAMO,SARSA,SELL,468.77,0,100042.11010999998,100042.11010999998,-4.68570487940995e-06,0
2025-01-17,TAMO,SARSA,BUY,472.04,1,99569.59806999998,100038.36806999998,-3.740464886119304e-05,1
2025-01-20,TAMO,SARSA,SELL,468.77,0,100037.89929999998,100037.89929999998,-4.6859021098660635e-06,0
2025-01-21,TAMO,SARSA,BUY,460.54,1,99576.89875999998,100026.53875999998,-0.0001135623606601885,1
2025-01-22,TAMO,SARSA,BUY,449.64,2,99126.80911999998,100037.88911999998,0.00011347348554397513,1
2025-01-23,TAMO,SARSA,BUY,455.54,3,98670.81357999997,100004.01357999997,-0.0003386270971728816,1
2025-01-24,TAMO,SARSA,BUY,444.4,4,98225.96917999997,99952.60917999997,-0.0005140233692608506,1
2025-01-27,TAMO,SARSA,SELL,431.66,3,98657.19751999997,99979.77751999997,0.00027181221403713054,1
2025-01-28,TAMO,SARSA,BUY,440.86,4,98215.89665999997,100038.05665999997,0.0005829092787122932,1
2025-01-29,TAMO,SARSA,BUY,455.54,5,97759.90111999997,99869.15111999997,-0.0016884128464636956,1
2025-01-30,TAMO,SARSA,BUY,421.85,6,97337.62926999996,99938.68926999996,0.0006962925910568515,1
2025-01-31,TAMO,SARSA,BUY,433.51,7,96903.68575999996,99897.79575999996,-0.00040918597490821823,1
2025-02-01,TAMO,SARSA,BUY,427.73,8,96475.52802999996,99804.80802999996,-0.0009308286463437784,1
2025-02-03,TAMO,SARSA,BUY,416.16,9,96058.95186999996,99930.30186999997,0.001257392729639722,1
2025-02-04,TAMO,SARSA,BUY,430.15,10,95628.37171999997,99969.17171999997,0.0003889696045406611,1
2025-02-05,TAMO,SARSA,BUY,434.08,11,95193.85763999997,99919.45763999998,-0.0004972941072197038,1
2025-02-06,TAMO,SARSA,BUY,429.6,12,94763.82803999998,99898.02803999998,-0.00021446873818322624,1
2025-02-07,TAMO,SARSA,BUY,427.85,13,94335.55018999998,99812.97018999998,-0.0008514467369259739,1
2025-02-10,TAMO,SARSA,BUY,421.34,14,93913.78884999998,99657.84884999998,-0.001554120067809976,1
2025-02-11,TAMO,SARSA,BUY,410.29,15,93503.08855999999,99717.43856,0.0005979429687440495,1
2025-02-12,TAMO,SARSA,BUY,414.29,16,93088.38427,99712.06427,-5.389518701644908e-05,1
2025-02-13,TAMO,SARSA,BUY,413.98,17,92673.99029,99678.84029000001,-0.00033319919954752337,1
2025-02-14,TAMO,SARSA,BUY,412.05,18,92261.52824,99743.22824,0.0006459540441347701,1
2025-02-17,TAMO,SARSA,BUY,415.65,19,91845.46259,99694.55258999999,-0.00048800957076386566,1
2025-02-18,TAMO,SARSA,BUY,413.11,20,91431.93948,99677.13948,-0.00017466460852286021,1
2025-02-19,TAMO,SARSA,BUY,412.26,21,91019.26722,99788.65722,0.00111878952969323,1
2025-02-20,TAMO,SARSA,BUY,417.59,22,90601.25963,99567.13963,-0.0022198674295377855,1
2025-02-21,TAMO,SARSA,BUY,407.54,23,90193.31209,99497.73209,-0.0006970928386405847,1
2025-02-24,TAMO,SARSA,BUY,404.54,24,89788.36755000001,99400.60755000002,-0.0009761482795621557,1
2025-02-25,TAMO,SARSA,BUY,400.51,25,89387.45704000001,99202.70704000001,-0.0019909386358675906,1
2025-02-27,TAMO,SARSA,SELL,392.61,24,89779.67443000001,98796.95443000001,-0.004090136470130704,1
2025-02-28,TAMO,SARSA,SELL,375.72,23,90155.01871000002,98803.70871000002,6.836526529564088e-05,1
2025-03-03,TAMO,SARSA,SELL,376.03,22,90530.67268000002,98777.37268000001,-0.00026654900250055444,1
2025-03-04,TAMO,SARSA,SELL,374.85,21,90905.14783000002,99051.46783000002,0.0027748779154915283,1
2025-03-05,TAMO,SARSA,BUY,387.92,22,90516.83991000001,99035.89991000001,-0.00015717000808846944,1
2025-03-06,TAMO,SARSA,BUY,387.23,23,90129.22268,99155.80268000001,0.0012107000603716793,1
2025-03-07,TAMO,SARSA,BUY,392.46,24,89736.37022000001,99153.25022000002,-2.5741912535659754e-05,1
2025-03-10,TAMO,SARSA,BUY,392.37,25,89343.60785000001,99151.35785000001,-1.908530477621888e-05,1
2025-03-11,TAMO,SARSA,BUY,392.31,26,88950.90554000002,99469.72554000001,0.003210926172908676,1
2025-03-12,TAMO,SARSA,SELL,404.57,25,89355.07097000002,99275.57097000002,-0.0019518961065386968,1
2025-03-13,TAMO,SARSA,BUY,396.82,26,88957.85415000001,99362.53415000002,0.0008759776362936802,1
