Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-03,TAMO,Value Iteration,BUY,478.49,1,99521.03151,99990.95151,-9.048490000001039e-05,1
2025-01-06,TAMO,Value Iteration,BUY,469.92,2,99050.64159,100011.06159,0.00020111899823242879,1
2025-01-07,TAMO,Value Iteration,BUY,480.21,3,98569.95138,100013.67138,2.6095013476621264e-05,1
2025-01-08,TAMO,Value Iteration,BUY,481.24,4,98088.23014,99977.23014,-0.0003643625866062083,1
2025-01-09,TAMO,Value Iteration,BUY,472.25,5,97615.50789,99960.25789,-0.0001697611543772478,1
2025-01-10,TAMO,Value Iteration,BUY,468.95,6,97146.08893999999,99873.92893999998,-0.0008636327258680113,1
2025-01-13,TAMO,Value Iteration,SELL,454.64,5,97600.27429999999,99932.47429999999,0.0005861926192487659,1
2025-01-14,TAMO,Value Iteration,BUY,466.44,6,97133.36785999998,99906.92785999998,-0.0002556370206877339,1
2025-01-15,TAMO,Value Iteration,BUY,462.26,7,96670.64559999999,99952.03559999999,0.00045149761849565045,1
2025-01-16,TAMO,Value Iteration,BUY,468.77,8,96201.40682999999,99977.72683,0.00025703558557652105,1
2025-01-17,TAMO,Value Iteration,BUY,472.04,9,95728.89478999999,99947.82478999998,-0.00029908701615971123,1
2025-01-20,TAMO,Value Iteration,BUY,468.77,10,95259.65602,99865.05601999999,-0.0008281197732306861,1
2025-01-21,TAMO,Value Iteration,SELL,460.54,9,95719.73547999999,99766.49547999998,-0.000986937212354511,1
2025-01-22,TAMO,Value Iteration,SELL,449.64,8,96168.92583999998,99813.24583999999,0.0004685977970367559,1
2025-01-23,TAMO,Value Iteration,SELL,455.54,7,96624.01029999998,99734.81029999998,-0.0007858229570626081,1
2025-01-24,TAMO,Value Iteration,SELL,444.4,6,97067.96589999998,99657.92589999999,-0.000770888316413586,1
2025-01-27,TAMO,Value Iteration,SELL,431.66,5,97499.19423999998,99703.49423999999,0.0004572475253571176,1
2025-01-28,TAMO,Value Iteration,SELL,440.86,4,97939.61337999998,99761.77337999998,0.0005845245489562568,1
2025-02-27,TAMO,Value Iteration,SELL,392.61,3,98331.83076999999,99458.99076999999,-0.0005131402131300273,1
2025-02-28,TAMO,Value Iteration,SELL,375.72,2,98707.17504999999,99459.23504999999,2.4560876609323374e-06,1
2025-03-03,TAMO,Value Iteration,SELL,376.03,1,99082.82901999999,99457.67902,-1.564490214719846e-05,1
2025-03-04,TAMO,Value Iteration,SELL,374.85,0,99457.30416999999,99457.30416999999,-3.768939751067874e-06,0
2025-03-12,TAMO,Value Iteration,BUY,404.57,1,99052.32959999998,99449.14959999999,-8.199065989221237e-05,1
2025-03-13,TAMO,Value Iteration,SELL,396.82,0,99448.75277999998,99448.75277999998,-3.990179922152187e-06,0
2025-03-17,TAMO,Value Iteration,BUY,400.18,1,99048.17259999998,99459.85259999997,0.00011161346612906754,1
2025-03-18,TAMO,Value Iteration,BUY,411.68,2,98636.08091999998,99462.12091999997,2.2806388112451917e-05,1
2025-03-19,TAMO,Value Iteration,BUY,413.02,3,98222.64789999998,99475.86789999998,0.0001382132199962624,1
2025-03-20,TAMO,Value Iteration,BUY,417.74,4,97804.49015999999,99506.69015999998,0.0003098466055203006,1
2025-03-21,TAMO,Value Iteration,SELL,425.55,3,98229.61460999999,99525.40460999998,0.00018807227905890474,1
2025-03-24,TAMO,Value Iteration,SELL,431.93,2,98661.11267999999,99521.11267999999,-4.312396434669602e-05,1
2025-03-25,TAMO,Value Iteration,SELL,430.0,1,99090.68268,99519.44268,-1.678035901153928e-05,1
2025-03-26,TAMO,Value Iteration,SELL,428.76,0,99519.01392,99519.01392,-4.308303869565403e-06,0
2025-03-27,TAMO,Value Iteration,BUY,404.72,1,99113.88919999999,99522.17919999998,3.18057813809428e-05,1
2025-04-01,TAMO,Value Iteration,BUY,406.72,2,98706.76247999999,99520.26247999999,-3.48390150330158e-06,1
2025-04-02,TAMO,Value Iteration,BUY,406.75,3,98299.60573,99487.24573,-0.0003317590727479282,1
2025-04-03,TAMO,Value Iteration,SELL,395.88,2,98695.08984999999,99438.30984999999,-0.0004918809405259082,1
2025-05-05,TAMO,Value Iteration,BUY,400.48,3,98294.20936999998,99471.40936999998,-0.00024765284689356337,1
2025-05-09,TAMO,Value Iteration,BUY,428.91,4,97864.87045999998,99610.27045999997,0.000294545223067345,1
2025-05-12,TAMO,Value Iteration,BUY,436.35,5,97428.08410999998,99570.18410999999,-0.00040243189597683604,1
2025-05-21,TAMO,Value Iteration,BUY,439.99,6,96987.65411999998,99593.57411999998,-0.00034588647972272053,1
2025-05-26,TAMO,Value Iteration,BUY,441.32,7,96545.89279999997,99581.93279999997,-0.0005383751784819819,1
2025-05-29,TAMO,Value Iteration,BUY,438.56,8,96106.89423999998,99591.45423999998,-0.00024452503388089917,1
2025-05-30,TAMO,Value Iteration,BUY,435.57,9,95670.88866999999,99547.90866999999,-0.0004372420337898613,1
2025-06-02,TAMO,Value Iteration,SELL,430.78,8,96101.23788999999,99509.95788999999,-0.0003812313137165498,1
2025-06-03,TAMO,Value Iteration,SELL,426.09,7,96526.90179999999,99532.0018,0.00022152466413839019,1
2025-06-04,TAMO,Value Iteration,SELL,429.3,6,96955.77249999999,99535.2325,3.245890710097292e-05,1
2025-06-05,TAMO,Value Iteration,SELL,429.91,5,97385.25258999999,99537.35259,2.1299894989411992e-05,1
2025-06-06,TAMO,Value Iteration,SELL,430.42,4,97815.24216999998,99553.40216999999,0.00016124178092319596,1
2025-06-09,TAMO,Value Iteration,BUY,434.54,5,97380.26762999999,99596.66762999998,0.0004345954940456364,1
2025-06-10,TAMO,Value Iteration,BUY,443.28,6,96936.54434999998,99611.34434999998,0.00014736155685978264,1
2025-06-11,TAMO,Value Iteration,BUY,445.8,7,96490.29854999998,99521.64854999998,-0.0009004576796478236,1
2025-06-12,TAMO,Value Iteration,SELL,433.05,6,96922.91549999997,99509.27549999997,-0.00012432521145178764,1
2025-06-13,TAMO,Value Iteration,SELL,431.06,5,97353.54443999997,99431.94443999996,-0.0007771241385433599,1
2025-06-16,TAMO,Value Iteration,SELL,415.68,4,97768.80875999997,99402.72875999997,-0.0002938258943293968,1
2025-06-17,TAMO,Value Iteration,SELL,408.48,3,98176.88027999997,99394.13027999997,-8.65014482727221e-05,1
2025-06-18,TAMO,Value Iteration,SELL,405.75,2,98582.22452999996,99396.20452999996,2.0868938579645178e-05,1
2025-06-19,TAMO,Value Iteration,SELL,406.99,1,98988.80753999997,99398.15753999997,1.964873819123082e-05,1
2025-06-20,TAMO,Value Iteration,SELL,409.35,0,99397.74818999997,99397.74818999997,-4.118285591329916e-06,0
2025-07-15,TAMO,Value Iteration,BUY,414.32,1,98983.01386999997,99394.06386999997,-3.706643326524537e-05,1
2025-07-16,TAMO,Value Iteration,SELL,411.05,0,99393.65281999996,99393.65281999996,-4.135558845318286e-06,0
2025-07-21,TAMO,Value Iteration,BUY,416.16,1,98977.07665999996,99384.73665999997,-8.970552693279515e-05,1
2025-07-22,TAMO,Value Iteration,SELL,407.66,0,99384.32899999997,99384.32899999997,-4.101837099913511e-06,0
2025-07-23,TAMO,Value Iteration,BUY,417.77,1,98966.14122999996,99390.20122999996,5.908607583388303e-05,1
2025-07-24,TAMO,Value Iteration,BUY,424.06,2,98541.65716999996,99373.91716999996,-0.0001638396924292596,1
2025-07-25,TAMO,Value Iteration,BUY,416.13,3,98125.11103999996,99365.34103999996,-8.630161962248116e-05,1
2025-07-28,TAMO,Value Iteration,SELL,413.41,2,98538.10762999995,99376.36762999995,0.00011097018220422781,1
2025-07-29,TAMO,Value Iteration,BUY,419.13,3,98118.55849999996,99332.53849999995,-0.00044104177930092737,1
2025-07-30,TAMO,Value Iteration,SELL,404.66,2,98522.81383999996,99329.11383999996,-3.447671882451361e-05,1
