Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-29,TAMOc1_NS,Double Q-Learning,BUY,752.55,1,99246.69745,99943.54745000001,-0.0005645254999998724,1
2025-01-30,TAMOc1_NS,Double Q-Learning,SELL,696.85,0,99942.8506,99942.8506,-6.972436118061203e-06,0
2025-01-31,TAMOc1_NS,Double Q-Learning,BUY,719.3,1,99222.8313,99931.5313,-0.00011325772611095445,1
2025-02-01,TAMOc1_NS,Double Q-Learning,SELL,708.7,0,99930.8226,99930.8226,-7.091855701433285e-06,0
2025-02-03,TAMOc1_NS,Double Q-Learning,BUY,691.1,1,99239.0315,99952.7315,0.000219240664991733,1
2025-02-04,TAMOc1_NS,Double Q-Learning,SELL,713.7,0,99952.0178,99952.0178,-7.140375148156592e-06,0
2025-02-05,TAMOc1_NS,Double Q-Learning,BUY,719.85,1,99231.44795,99944.59795,-7.423411916358211e-05,1
2025-02-06,TAMOc1_NS,Double Q-Learning,SELL,713.15,0,99943.8848,99943.8848,-7.135453187302044e-06,0
2025-02-07,TAMOc1_NS,Double Q-Learning,BUY,709.65,1,99233.52515,99930.47515,-0.00013417179076874767,1
2025-02-10,TAMOc1_NS,Double Q-Learning,SELL,696.95,0,99929.7782,99929.7782,-6.974348905592506e-06,0
2025-02-11,TAMOc1_NS,Double Q-Learning,BUY,678.9,1,99250.19930000001,99935.44930000001,5.675085146948565e-05,1
2025-02-12,TAMOc1_NS,Double Q-Learning,SELL,685.25,0,99934.76405000001,99934.76405000001,-6.856926193806526e-06,0
2025-02-13,TAMOc1_NS,Double Q-Learning,BUY,685.1,1,99248.97895000002,99929.82895000002,-4.938321560972224e-05,1
2025-02-14,TAMOc1_NS,Double Q-Learning,SELL,680.85,0,99929.14810000002,99929.14810000002,-6.813280950825484e-06,0
2025-02-17,TAMOc1_NS,Double Q-Learning,BUY,688.75,1,99239.70935000002,99922.70935000002,-6.443315211251323e-05,1
2025-02-18,TAMOc1_NS,Double Q-Learning,SELL,683.0,0,99922.02635000001,99922.02635000001,-6.835283034732285e-06,0
2025-02-19,TAMOc1_NS,Double Q-Learning,BUY,682.45,1,99238.89390000001,99929.7939,7.773611368510411e-05,1
2025-02-20,TAMOc1_NS,Double Q-Learning,SELL,690.9,0,99929.103,99929.103,-6.913853947230249e-06,0
2025-02-21,TAMOc1_NS,Double Q-Learning,BUY,674.25,1,99254.17875,99922.87875,-6.228665937288861e-05,1
2025-02-24,TAMOc1_NS,Double Q-Learning,SELL,668.7,0,99922.21005000001,99922.21005000001,-6.692161078222686e-06,0
2025-04-04,TAMOc1_NS,Double Q-Learning,BUY,615.25,1,99306.3448,99886.9948,-0.0003524266525168633,1
2025-04-07,TAMOc1_NS,Double Q-Learning,SELL,580.65,0,99886.41415000001,99886.41415000001,-5.813069070218577e-06,0
2025-04-15,TAMOc1_NS,Double Q-Learning,BUY,622.7,1,99263.09145,99879.99145,-6.430003574224894e-05,1
2025-04-16,TAMOc1_NS,Double Q-Learning,SELL,616.9,0,99879.37455000001,99879.37455000001,-6.176412222686673e-06,0
2025-04-21,TAMOc1_NS,Double Q-Learning,BUY,629.15,1,99249.5954,99879.14540000001,-2.2942674704525207e-06,1
2025-04-22,TAMOc1_NS,Double Q-Learning,SELL,629.55,0,99878.51585000001,99878.51585000001,-6.303117607550481e-06,0
2025-11-04,TAMOc1_NS,Double Q-Learning,BUY,406.35,1,99471.75950000001,99879.50950000001,9.948585955124415e-06,1
2025-11-06,TAMOc1_NS,Double Q-Learning,SELL,407.75,0,99879.10175000002,99879.10175000002,-4.082418926962057e-06,0
2025-11-07,TAMOc1_NS,Double Q-Learning,BUY,405.65,1,99473.04610000002,99885.14610000003,6.051666358734584e-05,1
2025-11-10,TAMOc1_NS,Double Q-Learning,SELL,412.1,0,99884.73400000003,99884.73400000003,-4.1257385716671e-06,0
2025-11-11,TAMOc1_NS,Double Q-Learning,BUY,407.45,1,99476.87655000003,99880.92655000003,-3.811843759821163e-05,1
2025-11-12,TAMOc1_NS,Double Q-Learning,SELL,404.05,0,99880.52250000004,99880.52250000004,-4.045316898368009e-06,0
2026-03-10,TAMOc1_NS,Double Q-Learning,BUY,345.85,1,99534.32665000003,99870.57665000003,-9.95774726749522e-05,1
2026-03-11,TAMOc1_NS,Double Q-Learning,SELL,336.25,0,99870.24040000004,99870.24040000004,-3.3668574996959824e-06,0
2026-03-24,TAMOc1_NS,Double Q-Learning,BUY,311.35,1,99558.57905000004,99876.62905000005,6.396950657593544e-05,1
2026-03-25,TAMOc1_NS,Double Q-Learning,SELL,318.05,0,99876.31100000005,99876.31100000005,-3.1844286599065614e-06,0
2026-03-27,TAMOc1_NS,Double Q-Learning,BUY,302.7,1,99573.30830000005,99869.50830000004,-6.811124611921423e-05,1
2026-03-30,TAMOc1_NS,Double Q-Learning,SELL,296.2,0,99869.21210000005,99869.21210000005,-2.9658702144330363e-06,0
2026-04-01,TAMOc1_NS,Double Q-Learning,BUY,303.95,1,99564.95815000005,99869.25815000005,4.611030670629505e-07,1
2026-04-02,TAMOc1_NS,Double Q-Learning,SELL,304.3,0,99868.95385000005,99868.95385000005,-3.0469836828704074e-06,0
2026-04-06,TAMOc1_NS,Double Q-Learning,BUY,308.7,1,99559.94515000004,99869.19515000004,2.41616629284663e-06,1
2026-04-07,TAMOc1_NS,Double Q-Learning,SELL,309.25,0,99868.88590000004,99868.88590000004,-3.096550438212921e-06,0
2026-05-05,TAMOc1_NS,Double Q-Learning,BUY,342.1,1,99526.44380000004,99886.79380000004,0.0001793141060764112,1
2026-05-06,TAMOc1_NS,Double Q-Learning,SELL,360.35,0,99886.43345000004,99886.43345000004,-3.6075840087947054e-06,0
2026-05-11,TAMOc1_NS,Double Q-Learning,BUY,347.0,1,99539.08645000005,99876.68645000005,-9.758081916967745e-05,1
2026-05-12,TAMOc1_NS,Double Q-Learning,SELL,337.6,0,99876.34885000005,99876.34885000005,-3.380168205399337e-06,0
2026-05-13,TAMOc1_NS,Double Q-Learning,BUY,338.35,1,99537.66050000006,99876.76050000006,4.121596401439773e-06,1
2026-05-14,TAMOc1_NS,Double Q-Learning,SELL,339.1,0,99876.42140000005,99876.42140000005,-3.3951842081618905e-06,0
2026-06-11,TAMOc1_NS,Double Q-Learning,BUY,374.5,1,99501.54690000004,99890.59690000005,0.00014193039559582727,1
2026-06-12,TAMOc1_NS,Double Q-Learning,SELL,389.05,0,99890.20785000005,99890.20785000005,-3.894760989239328e-06,0
2026-06-17,TAMOc1_NS,Double Q-Learning,BUY,358.35,1,99531.49950000005,99893.84950000005,3.645652640420477e-05,1
2026-06-18,TAMOc1_NS,Double Q-Learning,SELL,362.35,0,99893.48715000004,99893.48715000004,-3.6273504507435914e-06,0
2026-06-19,TAMOc1_NS,Double Q-Learning,BUY,360.0,1,99533.12715000004,99895.72715000005,2.2423884318320525e-05,1
