Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TCSc1_NS,Monte Carlo,BUY,4104.8,1,95891.0952,100040.8952,0.0004089519999999902,1
2025-01-02,TCSc1_NS,Monte Carlo,BUY,4149.8,2,91737.1454,99916.04539999999,-0.0012479876329616337,1
2025-01-03,TCSc1_NS,Monte Carlo,BUY,4089.45,3,87643.60595,99895.45595,-0.00020606750314784713,1
2025-01-06,TCSc1_NS,Monte Carlo,BUY,4083.95,4,83555.572,99628.972,-0.0026676283467126907,1
2025-01-07,TCSc1_NS,Monte Carlo,BUY,4018.35,5,79533.20365,99997.70365,0.0037010484259538635,1
2025-01-08,TCSc1_NS,Monte Carlo,BUY,4092.9,6,75436.21075,99549.31075,-0.004484031969068038,1
2025-01-09,TCSc1_NS,Monte Carlo,BUY,4018.85,7,71413.3419,100866.54190000001,0.013231946460262226,1
2025-01-10,TCSc1_NS,Monte Carlo,BUY,4207.6,8,67201.5343,101065.1343,0.001968862977347636,1
2025-01-13,TCSc1_NS,Monte Carlo,BUY,4232.95,9,62964.35135,100558.70134999999,-0.005010956087949479,1
2025-01-14,TCSc1_NS,Monte Carlo,BUY,4177.15,10,58783.0242,100663.0242,0.0010374323514472416,1
2025-01-15,TCSc1_NS,Monte Carlo,BUY,4188.0,11,54590.8362,100161.08619999999,-0.004986319495058536,1
2025-01-16,TCSc1_NS,Monte Carlo,SELL,4142.75,10,58729.44345,100095.94344999999,-0.0006503798278497411,1
2025-01-17,TCSc1_NS,Monte Carlo,SELL,4136.65,9,62861.9568,99685.9068,-0.004096436237746402,1
2025-01-20,TCSc1_NS,Monte Carlo,SELL,4091.55,8,66949.41525,99322.21525000001,-0.003648374797148243,1
2025-01-21,TCSc1_NS,Monte Carlo,SELL,4046.6,7,70991.96865000001,100084.31865000002,0.007673040699724095,1
2025-01-22,TCSc1_NS,Monte Carlo,BUY,4156.05,8,66831.76260000002,100070.96260000001,-0.00013344797846612648,1
2025-01-23,TCSc1_NS,Monte Carlo,BUY,4154.9,9,62672.70770000001,100091.5577,0.0002058049554525956,1
2025-01-24,TCSc1_NS,Monte Carlo,BUY,4157.65,10,58510.90005000001,99109.90005000001,-0.009807596889862307,1
2025-01-27,TCSc1_NS,Monte Carlo,SELL,4059.9,9,62566.74015000001,98978.49015000001,-0.00132590084273825,1
2025-01-28,TCSc1_NS,Monte Carlo,SELL,4045.75,8,66608.44440000001,99380.04440000001,0.004056985001402357,1
2025-01-29,TCSc1_NS,Monte Carlo,SELL,4096.45,7,70700.79795000001,99401.49795000002,0.00021587382184753412,1
2025-01-30,TCSc1_NS,Monte Carlo,SELL,4100.1,6,74796.79785,99598.39785000001,0.001980854454517699,1
2025-01-31,TCSc1_NS,Monte Carlo,BUY,4133.6,7,70659.06425,99254.41425,-0.0034537061581860254,1
2025-02-01,TCSc1_NS,Monte Carlo,SELL,4085.05,6,74740.02919999999,99276.72919999999,0.00022482576889506353,1
2025-02-03,TCSc1_NS,Monte Carlo,SELL,4089.45,5,78825.38974999999,99434.13974999999,0.001585573490066195,1
2025-02-04,TCSc1_NS,Monte Carlo,SELL,4121.75,4,82943.01799999998,99346.81799999998,-0.0008781868100790082,1
2025-02-05,TCSc1_NS,Monte Carlo,SELL,4100.95,3,87039.86704999999,99314.21704999998,-0.00032815293590990796,1
2025-02-06,TCSc1_NS,Monte Carlo,BUY,4091.45,4,82944.32559999998,99090.72559999998,-0.0022503469960145185,1
2025-02-07,TCSc1_NS,Monte Carlo,BUY,4036.6,5,78903.68899999998,99120.68899999998,0.0003023834957164531,1
2025-02-10,TCSc1_NS,Monte Carlo,BUY,4043.4,6,74856.24559999998,98736.24559999998,-0.00387853841492167,1
2025-02-11,TCSc1_NS,Monte Carlo,BUY,3980.0,7,70872.26559999998,98606.96559999998,-0.0013093469294319499,1
2025-02-12,TCSc1_NS,Monte Carlo,BUY,3962.1,8,66906.20349999999,98284.6035,-0.0032691615449120357,1
2025-02-13,TCSc1_NS,Monte Carlo,BUY,3922.3,9,62979.98119999999,98490.83119999999,0.00209827066148757,1
2025-02-14,TCSc1_NS,Monte Carlo,BUY,3945.65,10,59030.385549999985,98189.38554999998,-0.0030606468269912296,1
2025-02-17,TCSc1_NS,Monte Carlo,BUY,3915.9,11,55110.56964999998,97789.46964999998,-0.004072903580767878,1
2025-02-18,TCSc1_NS,Monte Carlo,BUY,3879.9,12,51226.78974999998,96682.18974999998,-0.011323099552161328,1
2025-02-19,TCSc1_NS,Monte Carlo,BUY,3787.95,13,47435.05179999998,96608.85179999997,-0.0007585466381102629,1
2025-02-20,TCSc1_NS,Monte Carlo,BUY,3782.6,14,43648.66919999998,96669.46919999998,0.0006274518211384315,1
2025-02-21,TCSc1_NS,Monte Carlo,BUY,3787.2,15,39857.681999999986,95131.93199999999,-0.015905096125219977,1
2025-02-24,TCSc1_NS,Monte Carlo,BUY,3684.95,16,36169.04704999999,94325.84704999998,-0.008473337322740426,1
2025-02-25,TCSc1_NS,Monte Carlo,BUY,3634.8,17,32530.612249999987,93943.96225,-0.0040485700573413014,1
2025-02-27,TCSc1_NS,Monte Carlo,BUY,3612.55,18,28914.449699999986,91985.54969999999,-0.02084660368899874,1
2025-02-28,TCSc1_NS,Monte Carlo,BUY,3503.95,19,25406.995749999987,92179.64574999998,0.0021100710995695976,1
2025-03-03,TCSc1_NS,Monte Carlo,BUY,3514.35,20,21889.131399999987,92753.13139999998,0.006221391342242194,1
2025-03-04,TCSc1_NS,Monte Carlo,BUY,3543.2,21,18342.388199999987,93227.33819999998,0.005112569169821042,1
2025-03-05,TCSc1_NS,Monte Carlo,BUY,3565.95,22,14772.872249999988,94165.37224999999,0.010061791617257631,1
2025-03-06,TCSc1_NS,Monte Carlo,BUY,3608.75,23,11160.513499999988,94368.76349999999,0.002159936770175096,1
2025-03-07,TCSc1_NS,Monte Carlo,BUY,3617.75,24,7539.145749999989,93907.94574999998,-0.004883159775639129,1
2025-03-10,TCSc1_NS,Monte Carlo,BUY,3598.7,25,3936.8470499999894,93415.59704999998,-0.00524288648918723,1
2025-03-11,TCSc1_NS,Monte Carlo,BUY,3579.15,26,354.11789999998973,91831.21789999997,-0.016960541922693927,1
2025-03-20,TCSc1_NS,Monte Carlo,SELL,3562.4,25,3912.95549999999,93500.4555,0.005635160488194673,1
2025-03-21,TCSc1_NS,Monte Carlo,BUY,3583.5,26,325.8719999999903,94674.67199999999,0.012558404060395139,1
2025-04-03,TCSc1_NS,Monte Carlo,SELL,3419.0,25,3741.4529999999904,86552.703,-0.029894337889209196,1
2025-04-04,TCSc1_NS,Monte Carlo,SELL,3312.45,24,7050.59054999999,85739.39054999998,-0.009396730798806043,1
2025-04-07,TCSc1_NS,Monte Carlo,SELL,3278.7,23,10326.01184999999,86249.01185,0.005943840943245585,1
2025-04-08,TCSc1_NS,Monte Carlo,SELL,3301.0,22,13623.71084999999,85009.31085,-0.014373509602127703,1
2025-04-09,TCSc1_NS,Monte Carlo,SELL,3244.8,21,16865.26604999999,84926.26604999999,-0.0009768906390329043,1
2025-04-11,TCSc1_NS,Monte Carlo,SELL,3241.0,20,20103.02504999999,85257.02505,0.0038946608085332806,1
2025-04-15,TCSc1_NS,Monte Carlo,SELL,3257.7,19,23357.467349999988,85521.66734999999,0.0031040527140700678,1
2025-04-16,TCSc1_NS,Monte Carlo,SELL,3271.8,18,26625.99554999999,85939.59554999998,0.004886810710666002,1
2025-04-17,TCSc1_NS,Monte Carlo,SELL,3295.2,17,29917.90034999999,86289.90034999998,0.004076174640549587,1
2025-04-21,TCSc1_NS,Monte Carlo,SELL,3316.0,16,33230.58434999999,86195.38435,-0.0010953309670844779,1
2025-04-22,TCSc1_NS,Monte Carlo,SELL,3310.3,15,36537.57404999999,87633.57405,0.016685228691134698,1
2025-04-23,TCSc1_NS,Monte Carlo,SELL,3406.4,14,39940.56764999999,87562.96764999999,-0.0008057003353500018,1
2025-04-24,TCSc1_NS,Monte Carlo,SELL,3401.6,13,43338.76604999999,88015.86604999998,0.005172259599632139,1
2025-04-25,TCSc1_NS,Monte Carlo,BUY,3436.7,14,39898.62934999999,88022.22934999998,7.229719237645624e-05,1
2025-04-28,TCSc1_NS,Monte Carlo,BUY,3437.4,15,36457.79194999999,88417.79194999998,0.004493894359652513,1
2025-05-14,TCSc1_NS,Monte Carlo,BUY,3553.5,16,32900.73844999999,90263.93844999999,0.005611016731992734,1
2025-05-15,TCSc1_NS,Monte Carlo,BUY,3585.2,17,29311.95324999999,89978.15324999999,-0.0031661060320152526,1
2025-05-16,TCSc1_NS,Monte Carlo,BUY,3568.6,18,25739.78464999999,89067.38464999999,-0.010122108168518072,1
2025-05-19,TCSc1_NS,Monte Carlo,BUY,3518.2,19,22218.06644999999,88911.86645,-0.0017460734994197604,1
2025-05-20,TCSc1_NS,Monte Carlo,BUY,3510.2,20,18704.35624999999,89172.35624999998,0.002929752916012272,1
2025-05-21,TCSc1_NS,Monte Carlo,BUY,3523.4,21,15177.43284999999,88211.23285,-0.010778266274644755,1
2025-05-22,TCSc1_NS,Monte Carlo,SELL,3477.8,20,18651.75504999999,88879.75504999999,0.007578651588928474,1
2025-05-23,TCSc1_NS,Monte Carlo,BUY,3511.4,21,15136.84364999999,89460.04364999999,0.006528917633420052,1
2025-05-26,TCSc1_NS,Monte Carlo,BUY,3539.2,22,11594.10444999999,88765.70444999999,-0.007761444905130026,1
2025-05-27,TCSc1_NS,Monte Carlo,BUY,3507.8,23,8082.79664999999,88580.49664999999,-0.0020864792449692975,1
2025-05-28,TCSc1_NS,Monte Carlo,SELL,3499.9,22,11579.19674999999,88537.39674999999,-0.0004865619592346356,1
2025-05-29,TCSc1_NS,Monte Carlo,SELL,3498.1,21,15073.79864999999,87618.29864999998,-0.010380902689009805,1
2025-05-30,TCSc1_NS,Monte Carlo,SELL,3454.5,20,18524.84414999999,87212.84414999999,-0.004627509392982177,1
2025-06-02,TCSc1_NS,Monte Carlo,SELL,3434.4,19,21955.80974999999,86472.20975,-0.0084922628910732,1
2025-06-03,TCSc1_NS,Monte Carlo,SELL,3395.6,18,25348.014149999988,86497.61414999998,0.0002937868717988312,1
2025-06-04,TCSc1_NS,Monte Carlo,SELL,3397.2,17,28741.81694999999,86365.01694999999,-0.001532957889104844,1
2025-06-05,TCSc1_NS,Monte Carlo,SELL,3389.6,16,32128.02734999999,86542.42734999998,0.002054192846424184,1
2025-06-06,TCSc1_NS,Monte Carlo,SELL,3400.9,15,35525.52644999999,87070.02644999999,0.006096421329462593,1
2025-06-09,TCSc1_NS,Monte Carlo,BUY,3436.3,16,32085.79014999999,87608.99014999998,0.006190002713614577,1
2025-06-10,TCSc1_NS,Monte Carlo,BUY,3470.2,17,28612.11994999999,87897.91995,0.0032979469287948717,1
2025-06-12,TCSc1_NS,Monte Carlo,BUY,3442.3,18,25166.377649999988,87223.17764999998,0.0010553932339378942,1
2025-06-13,TCSc1_NS,Monte Carlo,BUY,3447.6,19,21715.33004999999,88342.63004999999,0.012834345527882856,1
2025-06-18,TCSc1_NS,Monte Carlo,BUY,3457.3,20,18254.57274999999,86854.57274999999,-0.006286406927525817,1
