Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-10,TCSc1_NS,Value Iteration,BUY,4207.6,1,95788.1924,100021.1424,0.00021142399999996995,1
2025-02-06,TCSc1_NS,Value Iteration,SELL,4091.45,0,99875.55095,99875.55095,-4.0963803050146076e-05,0
2025-03-20,TCSc1_NS,Value Iteration,BUY,3562.4,1,96309.58855,99893.08855,0.00017559452571906957,1
2025-03-21,TCSc1_NS,Value Iteration,SELL,3583.5,0,99889.50505,99889.50505,-3.5873352721491805e-05,0
2025-03-24,TCSc1_NS,Value Iteration,BUY,3628.8,1,96257.07625000001,99912.02625000001,0.00022546112315532853,1
2025-04-01,TCSc1_NS,Value Iteration,SELL,3561.95,0,99815.4643,99815.4643,-3.5684078815615376e-05,0
2025-04-03,TCSc1_NS,Value Iteration,BUY,3419.0,1,96393.04530000001,99705.49530000001,-0.0011017230723836579,1
2025-04-08,TCSc1_NS,Value Iteration,BUY,3301.0,2,93088.74430000002,99578.34430000003,-0.001160560790284095,1
2025-04-09,TCSc1_NS,Value Iteration,BUY,3244.8,3,89840.69950000002,99563.69950000002,-0.0001470681211156583,1
2025-04-11,TCSc1_NS,Value Iteration,BUY,3241.0,4,86596.45850000002,99627.25850000003,0.0006383752343393826,1
2025-04-15,TCSc1_NS,Value Iteration,BUY,3257.7,5,83335.50080000002,99694.50080000002,0.0006749387769211581,1
2025-04-16,TCSc1_NS,Value Iteration,BUY,3271.8,6,80060.42900000002,99831.62900000002,0.0013754840928998553,1
2025-04-17,TCSc1_NS,Value Iteration,BUY,3295.2,7,76761.93380000001,99973.93380000001,0.0014254480411212969,1
2025-04-21,TCSc1_NS,Value Iteration,BUY,3316.0,8,73442.6178,99925.0178,-0.0004892875386685242,1
2025-04-22,TCSc1_NS,Value Iteration,BUY,3310.3,9,70129.0075,100786.60750000001,0.008622362236897309,1
2025-05-07,TCSc1_NS,Value Iteration,BUY,3458.0,10,66667.54950000001,101215.54950000001,-0.0003501989844397224,1
2025-05-08,TCSc1_NS,Value Iteration,BUY,3454.8,11,63209.294700000006,101098.7947,-0.0011535263166259815,1
2025-05-09,TCSc1_NS,Value Iteration,BUY,3444.5,12,59761.35020000001,103401.75020000001,0.02277925772343566,1
