Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TEML,Double Q-Learning,BUY,1703.85,1,98294.44615,100021.39615,0.0002139615000000049,1
2025-01-02,TEML,Double Q-Learning,SELL,1726.95,0,100019.6692,100019.6692,-1.7265805782261893e-05,0
2025-01-03,TEML,Double Q-Learning,BUY,1689.45,1,98328.52975,100014.82975,-4.838498306090666e-05,1
2025-01-06,TEML,Double Q-Learning,SELL,1686.3,0,100013.14345,100013.14345,-1.6860499630068215e-05,0
2025-01-07,TEML,Double Q-Learning,BUY,1671.15,1,98340.3223,100004.0723,-9.069957894622498e-05,1
2025-01-08,TEML,Double Q-Learning,SELL,1663.75,0,100002.40855,100002.40855,-1.6636822498747233e-05,0
2025-01-09,TEML,Double Q-Learning,BUY,1642.8,1,98357.96574999999,100063.56575,0.00061155727033738,1
2025-01-10,TEML,Double Q-Learning,SELL,1705.6,0,100061.86015,100061.86015,-1.7045165112968613e-05,0
2025-01-20,TEML,Double Q-Learning,BUY,1674.6,1,98385.58554999999,100026.08554999999,-0.0003575248346010714,1
2025-01-21,TEML,Double Q-Learning,SELL,1640.5,0,100024.44505,100024.44505,-1.6400721781459967e-05,0
2025-02-11,TEML,Double Q-Learning,BUY,1669.1,1,98353.67594999999,100033.87594999999,9.428595175187235e-05,1
2025-02-12,TEML,Double Q-Learning,SELL,1680.2,0,100032.19574999998,100032.19574999998,-1.6796310090417072e-05,0
2025-02-14,TEML,Double Q-Learning,BUY,1659.1,1,98371.43664999999,100036.38664999999,4.189551142589431e-05,1
2025-02-17,TEML,Double Q-Learning,SELL,1664.95,0,100034.7217,100034.7217,-1.664344400819302e-05,0
2025-02-20,TEML,Double Q-Learning,BUY,1657.85,1,98375.21385,100024.71385,-0.00010004376310465116,1
2025-02-21,TEML,Double Q-Learning,SELL,1649.5,0,100023.06435,100023.06435,-1.6490924457661263e-05,0
2025-02-24,TEML,Double Q-Learning,BUY,1613.7,1,98407.75065,100001.70065,-0.00021358773737671134,1
2025-02-25,TEML,Double Q-Learning,SELL,1593.95,0,100000.1067,100000.1067,-1.5939228929452687e-05,0
2025-02-27,TEML,Double Q-Learning,BUY,1588.25,1,98410.26845,99898.11845000001,-0.0010198814117864823,1
2025-02-28,TEML,Double Q-Learning,SELL,1487.85,0,99896.6306,99896.6306,-1.4893673905877077e-05,0
2025-03-03,TEML,Double Q-Learning,BUY,1493.05,1,98402.08755000001,99890.33755000001,-6.299561819248131e-05,1
2025-03-04,TEML,Double Q-Learning,SELL,1488.25,0,99888.84930000002,99888.84930000002,-1.4898838431193964e-05,0
2025-03-05,TEML,Double Q-Learning,BUY,1538.1,1,98349.21120000002,99852.66120000002,-0.00036228368084724135,1
2025-03-06,TEML,Double Q-Learning,SELL,1503.45,0,99851.15775000001,99851.15775000001,-1.5056684338061436e-05,0
2025-03-07,TEML,Double Q-Learning,BUY,1492.35,1,98357.3154,99844.16540000001,-7.002773085022584e-05,1
