Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,TEML,Expected SARSA,BUY,1659.65,1,98338.69035,99986.19035,-0.000138096499999956,1
2025-01-14,TEML,Expected SARSA,SELL,1647.5,0,99984.54285,99984.54285,-1.647727545413378e-05,0
2025-01-15,TEML,Expected SARSA,BUY,1675.95,1,98306.9169,99994.56689999999,0.00010025599671972408,1
2025-01-16,TEML,Expected SARSA,SELL,1687.65,0,99992.87925,99992.87925,-1.6877416966866956e-05,0
2025-01-17,TEML,Expected SARSA,BUY,1660.3,1,98330.91894999999,100005.51895,0.00012640600105531734,1
2025-01-20,TEML,Expected SARSA,SELL,1674.6,0,100003.84434999998,100003.84434999998,-1.6745075847766652e-05,0
2025-01-22,TEML,Expected SARSA,BUY,1683.95,1,98318.21039999998,100031.61039999998,0.00027764982616881856,1
2025-01-23,TEML,Expected SARSA,SELL,1713.4,0,100029.89699999998,100029.89699999998,-1.7128585585514794e-05,0
2025-01-24,TEML,Expected SARSA,BUY,1723.05,1,98305.12394999998,99959.02394999997,-0.0007085186741720754,1
2025-01-27,TEML,Expected SARSA,SELL,1653.9,0,99957.37004999998,99957.37004999998,-1.6545779806909016e-05,0
2025-01-28,TEML,Expected SARSA,BUY,1648.35,1,98307.37169999999,99988.52169999998,0.000311649355964621,1
2025-01-29,TEML,Expected SARSA,SELL,1681.15,0,99986.84055,99986.84055,-1.681342989581803e-05,0
2025-01-30,TEML,Expected SARSA,BUY,1670.1,1,98315.07045,99989.52045,2.680252706517605e-05,1
2025-01-31,TEML,Expected SARSA,SELL,1674.45,0,99987.846,99987.846,-1.674625493207212e-05,0
2025-02-01,TEML,Expected SARSA,BUY,1646.4,1,98339.7996,99994.4996,6.654408776833284e-05,1
2025-02-03,TEML,Expected SARSA,SELL,1654.7,0,99992.8449,99992.8449,-1.6547910201244097e-05,0
2025-02-04,TEML,Expected SARSA,BUY,1659.05,1,98332.13584999999,99993.13584999999,2.9097081924815204e-06,1
2025-02-05,TEML,Expected SARSA,SELL,1661.0,0,99991.47485,99991.47485,-1.661114021350879e-05,0
2025-03-21,TEML,Expected SARSA,BUY,1409.25,1,98580.8156,100039.4656,0.0004799484163223862,1
2025-03-24,TEML,Expected SARSA,SELL,1458.65,0,100038.00695,100038.00695,-1.4580745621260986e-05,0
2025-03-25,TEML,Expected SARSA,BUY,1455.5,1,98581.05145,99997.35145,-0.0004064005395500683,1
2025-03-26,TEML,Expected SARSA,SELL,1416.3,0,99995.93515,99995.93515,-1.4163375124043209e-05,0
2025-03-27,TEML,Expected SARSA,BUY,1423.9,1,98570.61125,99988.86125,-7.074187555115884e-05,1
2025-03-28,TEML,Expected SARSA,SELL,1418.25,0,99987.443,99987.443,-1.4184079929227564e-05,0
2025-04-02,TEML,Expected SARSA,BUY,1423.05,1,98562.96995,99932.31995,-0.0005512997267066294,1
2025-04-03,TEML,Expected SARSA,SELL,1369.35,0,99930.9506,99930.9506,-1.3702774044405898e-05,0
2025-04-04,TEML,Expected SARSA,BUY,1320.95,1,98608.67964999999,99896.67964999999,-0.0003429463023641601,1
2025-04-07,TEML,Expected SARSA,SELL,1288.0,0,99895.39164999999,99895.39164999999,-1.2893321424827414e-05,0
2025-04-08,TEML,Expected SARSA,BUY,1314.4,1,98579.67725,99852.42725,-0.0004300939141470108,1
2025-04-09,TEML,Expected SARSA,SELL,1272.75,0,99851.15449999999,99851.15449999999,-1.2746310080346348e-05,0
2025-04-11,TEML,Expected SARSA,BUY,1282.25,1,98567.62224999999,99869.32224999998,0.00018194832188939036,1
2025-04-15,TEML,Expected SARSA,SELL,1301.7,0,99868.02054999999,99868.02054999999,-1.3034032580473878e-05,0
2025-04-21,TEML,Expected SARSA,BUY,1373.5,1,98493.14704999999,99869.64704999999,1.628649482628087e-05,1
2025-04-22,TEML,Expected SARSA,SELL,1376.5,0,99868.27054999999,99868.27054999999,-1.3782966503419587e-05,0
2025-04-23,TEML,Expected SARSA,BUY,1439.6,1,98427.23094999998,99872.43094999998,4.165887700949466e-05,1
2025-04-24,TEML,Expected SARSA,SELL,1445.2,0,99870.98574999998,99870.98574999998,-1.4470459828152735e-05,0
2025-04-25,TEML,Expected SARSA,BUY,1462.0,1,98407.52374999998,99869.02374999998,-1.9645345294887456e-05,1
2025-04-28,TEML,Expected SARSA,SELL,1461.5,0,99867.56224999997,99867.56224999997,-1.4634167283575652e-05,0
2025-05-20,TEML,Expected SARSA,BUY,1576.0,1,98289.98624999997,99888.18624999997,0.00020651350183523842,1
2025-05-21,TEML,Expected SARSA,SELL,1598.2,0,99886.58804999998,99886.58804999998,-1.599989007702185e-05,0
2025-06-02,TEML,Expected SARSA,BUY,1549.1,1,98335.93894999998,99879.73894999998,-6.856876517359609e-05,1
2025-06-03,TEML,Expected SARSA,SELL,1543.8,0,99878.19514999999,99878.19514999999,-1.5456588255324676e-05,0
2025-06-04,TEML,Expected SARSA,BUY,1556.7,1,98319.93844999999,99882.73844999999,4.5488407086066776e-05,1
2025-06-05,TEML,Expected SARSA,SELL,1562.8,0,99881.17564999999,99881.17564999999,-1.5646347149182487e-05,0
2025-06-06,TEML,Expected SARSA,BUY,1571.1,1,98308.50454999998,99887.60454999999,6.436548186544074e-05,1
2025-06-09,TEML,Expected SARSA,SELL,1579.1,0,99886.02544999999,99886.02544999999,-1.580876833633763e-05,0
2026-01-16,TEML,Expected SARSA,BUY,1670.5,1,98213.85495,99932.15495,0.00046182135881561417,1
2026-01-19,TEML,Expected SARSA,SELL,1718.3,0,99930.43664999999,99930.43664999999,-1.7194665729638908e-05,0
2026-01-20,TEML,Expected SARSA,BUY,1678.5,1,98250.25815,99936.95814999999,6.526039731862376e-05,1
2026-01-21,TEML,Expected SARSA,SELL,1686.7,0,99935.27145,99935.27145,-1.6877639976388515e-05,0
2026-01-22,TEML,Expected SARSA,BUY,1687.4,1,98246.18405,99947.28405,0.00012020380618080404,1
2026-01-23,TEML,Expected SARSA,SELL,1701.1,0,99945.58295,99945.58295,-1.7019972240112922e-05,0
2026-01-27,TEML,Expected SARSA,BUY,1745.1,1,98198.73784999999,99961.63784999998,0.00016063641359738816,1
2026-01-29,TEML,Expected SARSA,SELL,1768.4,0,99965.36944999998,99965.36944999998,-1.7689813252974298e-05,0
2026-02-01,TEML,Expected SARSA,BUY,1717.3,1,98246.35214999998,99970.35214999998,4.984426134177812e-05,1
2026-02-02,TEML,Expected SARSA,SELL,1724.0,0,99968.62814999997,99968.62814999997,-1.724511280519661e-05,0
2026-02-03,TEML,Expected SARSA,BUY,1716.5,1,98250.41164999998,99895.71164999998,-0.0007293938243364011,1
2026-02-04,TEML,Expected SARSA,SELL,1645.3,0,99894.06634999998,99894.06634999998,-1.6470176475325926e-05,0
2026-02-05,TEML,Expected SARSA,BUY,1646.2,1,98246.22014999998,99866.12014999997,-0.00027975835824012166,1
2026-02-06,TEML,Expected SARSA,SELL,1619.9,0,99864.50024999998,99864.50024999998,-1.6220716270517836e-05,0
2026-02-09,TEML,Expected SARSA,BUY,1621.7,1,98241.17854999998,99885.77854999999,0.00021307171163664242,1
2026-02-10,TEML,Expected SARSA,SELL,1644.6,0,99884.13394999999,99884.13394999999,-1.6464806340538133e-05,0
2026-02-11,TEML,Expected SARSA,BUY,1634.4,1,98248.09954999998,99784.69954999999,-0.0009954974435656934,1
2026-02-12,TEML,Expected SARSA,SELL,1536.6,0,99783.16294999998,99783.16294999998,-1.539915444889195e-05,0
2026-03-18,TEML,Expected SARSA,BUY,1385.2,1,98396.57774999998,99737.17774999999,-0.0004608512963558602,1
2026-03-19,TEML,Expected SARSA,SELL,1340.6,0,99735.83714999998,99735.83714999998,-1.344132679762391e-05,0
2026-03-20,TEML,Expected SARSA,BUY,1384.8,1,98349.65234999997,99733.65234999997,-2.1905867163042353e-05,1
2026-03-23,TEML,Expected SARSA,SELL,1384.0,0,99732.26834999997,99732.26834999997,-1.3876960959461662e-05,0
2026-03-24,TEML,Expected SARSA,BUY,1432.7,1,98298.13564999997,99706.63564999997,-0.00025701511079690527,1
2026-03-25,TEML,Expected SARSA,SELL,1408.5,0,99705.22714999996,99705.22714999996,-1.4126441944639081e-05,0
2026-03-27,TEML,Expected SARSA,BUY,1391.6,1,98312.23554999997,99696.23554999997,-9.018183155499612e-05,1
2026-03-30,TEML,Expected SARSA,SELL,1384.0,0,99694.85154999996,99694.85154999996,-1.3882169094653163e-05,0
2026-04-01,TEML,Expected SARSA,BUY,1404.5,1,98288.94704999996,99730.44704999996,0.00035704451580574945,1
2026-04-02,TEML,Expected SARSA,SELL,1441.5,0,99729.00554999996,99729.00554999996,-1.4453961078487068e-05,0
2026-04-06,TEML,Expected SARSA,BUY,1449.5,1,98278.05604999996,99751.45604999995,0.00022511504928960705,1
2026-04-08,TEML,Expected SARSA,SELL,1451.4,0,99728.00464999996,99728.00464999996,-1.4553373270813375e-05,0
2026-04-09,TEML,Expected SARSA,BUY,1461.6,1,98264.94304999996,99705.14304999996,-0.0002292395208370774,1
2026-04-10,TEML,Expected SARSA,SELL,1440.2,0,99703.70284999996,99703.70284999996,-1.4444590880081752e-05,0
2026-04-13,TEML,Expected SARSA,BUY,1435.4,1,98266.86744999996,99750.66744999996,0.0004710416830823514,1
2026-04-15,TEML,Expected SARSA,SELL,1483.8,0,99749.18364999996,99749.18364999996,-1.4875088437333492e-05,0
2026-04-16,TEML,Expected SARSA,BUY,1491.0,1,98256.69264999997,99768.09264999996,0.00018956546117056527,1
2026-04-17,TEML,Expected SARSA,SELL,1511.4,0,99766.58124999997,99766.58124999997,-1.5149131950339022e-05,0
2026-04-20,TEML,Expected SARSA,BUY,1504.4,1,98260.67684999997,99761.47684999998,-5.1163425027120816e-05,1
2026-04-22,TEML,Expected SARSA,SELL,1462.6,0,99721.81424999998,99721.81424999998,-1.4666585838318542e-05,0
2026-04-23,TEML,Expected SARSA,BUY,1421.5,1,98298.89274999998,99657.39274999998,-0.0006460121136433973,1
2026-04-24,TEML,Expected SARSA,SELL,1358.5,0,99656.03424999998,99656.03424999998,-1.3631703203494612e-05,0
2026-04-27,TEML,Expected SARSA,BUY,1396.1,1,98258.53814999998,99666.63814999998,0.00010640499674511068,1
2026-04-28,TEML,Expected SARSA,SELL,1408.1,0,99665.23004999998,99665.23004999998,-1.412809768782754e-05,0
2026-04-29,TEML,Expected SARSA,BUY,1459.8,1,98203.97024999998,99677.47024999998,0.00012281314149236933,1
2026-04-30,TEML,Expected SARSA,SELL,1473.5,0,99675.99674999999,99675.99674999999,-1.4782678536053462e-05,0
2026-05-04,TEML,Expected SARSA,BUY,1471.6,1,98202.92515,99655.12514999999,-0.00020939444480647825,1
2026-05-05,TEML,Expected SARSA,SELL,1452.2,0,99653.67295,99653.67295,-1.457225604617808e-05,0
2026-05-06,TEML,Expected SARSA,BUY,1466.7,1,98185.50624999999,99633.70624999999,-0.00020036090400825005,1
2026-05-07,TEML,Expected SARSA,SELL,1448.2,0,99632.25804999999,99632.25804999999,-1.453524168181695e-05,0
2026-05-08,TEML,Expected SARSA,BUY,1463.0,1,98167.79504999999,99625.19504999998,-7.089069482360486e-05,1
2026-05-11,TEML,Expected SARSA,SELL,1457.4,0,99623.73764999998,99623.73764999998,-1.4628829577376321e-05,0
2026-05-12,TEML,Expected SARSA,BUY,1392.9,1,98229.44474999998,99604.44474999998,-0.0001936576608657322,1
2026-05-13,TEML,Expected SARSA,SELL,1375.0,0,99603.06974999998,99603.06974999998,-1.3804604839183145e-05,0
2026-05-14,TEML,Expected SARSA,BUY,1343.4,1,98258.32634999997,99628.82634999997,0.0002585924315851053,1
2026-05-15,TEML,Expected SARSA,SELL,1370.5,0,99627.45584999997,99627.45584999997,-1.375605886583387e-05,0
2026-05-18,TEML,Expected SARSA,BUY,1430.0,1,98196.02584999998,99663.12584999998,0.0003580338341041037,1
2026-05-19,TEML,Expected SARSA,SELL,1467.1,0,99661.65874999997,99661.65874999997,-1.4720589862062218e-05,0
2026-05-20,TEML,Expected SARSA,BUY,1439.0,1,98221.21974999997,99641.21974999997,-0.0002050838833745429,1
2026-05-21,TEML,Expected SARSA,SELL,1420.0,0,99639.79974999998,99639.79974999998,-1.4251130240687907e-05,0
2026-05-22,TEML,Expected SARSA,BUY,1422.2,1,98216.17754999998,99651.67754999998,0.00011920738529988894,1
2026-05-25,TEML,Expected SARSA,SELL,1435.5,0,99650.24204999997,99650.24204999997,-1.440517646365371e-05,0
2026-05-26,TEML,Expected SARSA,BUY,1458.7,1,98190.08334999997,99645.68334999998,-4.5747003782557635e-05,1
2026-05-27,TEML,Expected SARSA,SELL,1455.6,0,99644.22774999998,99644.22774999998,-1.4607757717797227e-05,0
2026-05-29,TEML,Expected SARSA,BUY,1483.9,1,98158.84384999998,99702.04384999997,0.0005802252805355941,1
2026-06-01,TEML,Expected SARSA,SELL,1543.2,0,99700.50064999997,99700.50064999997,-1.5478118004499367e-05,0
2026-06-03,TEML,Expected SARSA,BUY,1472.3,1,98226.72834999998,99714.02834999998,0.00013568337081370526,1
2026-06-04,TEML,Expected SARSA,SELL,1487.3,0,99712.54104999997,99712.54104999997,-1.4915654543485939e-05,0
2026-06-05,TEML,Expected SARSA,BUY,1483.5,1,98227.55754999997,99730.95754999996,0.00018469592496652245,1
