Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,TEML,Monte Carlo,BUY,1659.65,1,98338.69035,99986.19035,-0.000138096499999956,1
2025-01-20,TEML,Monte Carlo,BUY,1674.6,2,96662.41575,99943.41575,-0.0006986531465516383,1
2025-01-21,TEML,Monte Carlo,BUY,1640.5,3,95020.27525,100072.12525000001,0.001287823705385132,1
2025-01-22,TEML,Monte Carlo,BUY,1683.95,4,93334.6413,100188.24130000001,0.0011603236136927839,1
2025-01-23,TEML,Monte Carlo,BUY,1713.4,5,91619.5279,100234.7779,0.0004644916349079797,1
2025-01-24,TEML,Monte Carlo,BUY,1723.05,6,89894.75485,99818.15484999999,-0.004156472022272114,1
2025-01-29,TEML,Monte Carlo,BUY,1681.15,7,88211.9237,99902.6237,-0.0007904565104324762,1
2025-01-31,TEML,Monte Carlo,BUY,1674.45,8,86535.79925,99706.99925,-0.0022622585459412333,1
2025-02-06,TEML,Monte Carlo,SELL,1669.6,7,88203.72965,100048.42964999999,0.0015599794296071601,1
2025-02-07,TEML,Monte Carlo,SELL,1692.1,6,89894.13755,100088.43755,0.0003998853369310373,1
2025-02-10,TEML,Monte Carlo,SELL,1699.05,5,91591.4885,99936.9885,-0.0015131523051734922,1
2025-02-11,TEML,Monte Carlo,BUY,1669.1,6,89920.7194,100001.9194,0.0006497183973078407,1
2025-02-12,TEML,Monte Carlo,SELL,1680.2,5,91599.2392,99975.7392,-0.00026179697506888567,1
2025-02-13,TEML,Monte Carlo,SELL,1675.3,4,93272.8639,99909.26389999999,-0.0006649143135318325,1
2025-02-14,TEML,Monte Carlo,BUY,1659.1,5,91612.1048,99936.8548,0.0002761595764295302,1
2025-02-17,TEML,Monte Carlo,BUY,1664.95,6,89945.48985,100175.48985,0.0023878583179105326,1
2025-02-18,TEML,Monte Carlo,SELL,1705.0,5,91648.78485,100077.78485,-0.0009753383801397178,1
2025-02-19,TEML,Monte Carlo,SELL,1685.8,4,93332.89904999999,99964.29904999999,-0.001133975938517283,1
2025-02-20,TEML,Monte Carlo,BUY,1657.85,5,91673.3912,99920.8912,-0.00043423352549370667,1
2025-02-21,TEML,Monte Carlo,BUY,1649.5,6,90022.2417,99704.4417,-0.002166208661677774,1
2025-02-24,TEML,Monte Carlo,BUY,1613.7,7,88406.928,99564.578,-0.0014027830417107858,1
2025-02-25,TEML,Monte Carlo,BUY,1593.95,8,86811.38405,99517.38405,-0.00047400341515032354,1
2025-02-27,TEML,Monte Carlo,BUY,1588.25,9,85221.54579999999,98612.19579999999,-0.009095780185954421,1
2025-02-28,TEML,Monte Carlo,SELL,1487.85,8,86707.90795,98652.30794999999,0.00040676662429618915,1
2025-03-03,TEML,Monte Carlo,SELL,1493.05,7,88199.46489999999,98617.21489999999,-0.0003557245717736486,1
2025-03-04,TEML,Monte Carlo,SELL,1488.25,6,89686.22665,98914.82665,0.003017847850416337,1
2025-03-05,TEML,Monte Carlo,SELL,1538.1,5,91222.78855,98740.03855,-0.0017670566276022,1
2025-03-06,TEML,Monte Carlo,SELL,1503.45,4,92724.73509999999,98694.13509999998,-0.0004648919594736428,1
2025-03-07,TEML,Monte Carlo,SELL,1492.35,3,94215.59275,98676.14275,-0.00018230414585178217,1
2025-03-10,TEML,Monte Carlo,SELL,1486.85,2,95700.9559,98659.3559,-0.0001701206546199745,1
2025-03-11,TEML,Monte Carlo,SELL,1479.2,1,97178.6767,98616.9767,-0.00042955074674266917,1
2025-03-12,TEML,Monte Carlo,SELL,1438.3,0,98615.53839999999,98615.53839999999,-1.4584709936751632e-05,0
2025-03-13,TEML,Monte Carlo,BUY,1440.65,1,97173.44774999999,98613.54775,-2.0185966961089535e-05,1
2025-03-17,TEML,Monte Carlo,SELL,1440.1,0,98612.10764999999,98612.10764999999,-1.4603470140410581e-05,0
2025-03-18,TEML,Monte Carlo,BUY,1430.65,1,97180.02699999999,98576.17699999998,-0.00036436347276479024,1
2025-03-19,TEML,Monte Carlo,SELL,1396.15,0,98574.78084999998,98574.78084999998,-1.4163158305484794e-05,0
2025-03-20,TEML,Monte Carlo,BUY,1410.55,1,97162.82029999998,98572.07029999998,-2.7497398184714535e-05,1
2025-03-26,TEML,Monte Carlo,SELL,1416.3,0,98577.70399999998,98577.70399999998,-1.4367139772469003e-05,0
2025-03-27,TEML,Monte Carlo,BUY,1423.9,1,97152.38009999998,98570.63009999998,-7.175963440985653e-05,1
2025-04-01,TEML,Monte Carlo,BUY,1395.15,2,95755.83494999997,98601.93494999998,0.0005520671085799874,1
2025-04-07,TEML,Monte Carlo,SELL,1288.0,1,97042.54694999997,98356.94694999997,0.00025538016261735305,1
2025-04-16,TEML,Monte Carlo,SELL,1308.7,0,98349.93824999998,98349.93824999998,-1.3306389502712177e-05,0
2025-04-17,TEML,Monte Carlo,BUY,1306.8,1,97041.83144999998,98415.33144999998,0.0006649033152799758,1
2025-04-21,TEML,Monte Carlo,BUY,1373.5,2,95666.95794999998,98419.95794999998,4.7009951923486485e-05,1
2025-04-22,TEML,Monte Carlo,BUY,1376.5,3,94289.08144999998,98607.88144999999,0.0019094043923029787,1
2025-04-23,TEML,Monte Carlo,BUY,1439.6,4,92848.04184999998,98628.84184999998,0.0002125631307739276,1
2025-04-24,TEML,Monte Carlo,BUY,1445.2,5,91401.39664999998,98711.39664999998,0.0008370249356222982,1
2025-04-25,TEML,Monte Carlo,BUY,1462.0,6,89937.93464999998,98706.93464999998,-4.5202480680325125e-05,1
2025-04-28,TEML,Monte Carlo,BUY,1461.5,7,88474.97314999998,98942.07314999998,0.0023821882508434375,1
2025-04-29,TEML,Monte Carlo,BUY,1495.3,8,86978.17784999998,99002.17784999998,0.0006074736266024586,1
2025-04-30,TEML,Monte Carlo,BUY,1503.0,9,85473.67484999998,98940.37484999998,-0.0006242589945206937,1
2025-05-02,TEML,Monte Carlo,BUY,1496.3,10,83975.87854999998,98921.87854999998,-0.00018694390462983864,1
2025-05-05,TEML,Monte Carlo,BUY,1494.6,11,82479.78394999998,98937.98394999998,0.00016280928178956803,1
2025-05-06,TEML,Monte Carlo,BUY,1496.2,12,80982.08774999998,98924.48774999997,-0.00013641070356587437,1
2025-05-07,TEML,Monte Carlo,BUY,1495.2,13,79485.39254999998,99021.79254999997,0.0009836270291932656,1
2025-05-08,TEML,Monte Carlo,BUY,1502.8,14,77981.08974999997,98892.88974999997,-0.0013017619322020265,1
