Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,TEML,Policy Iteration,BUY,1659.65,1,98338.69035,99986.19035,-0.000138096499999956,1
2025-01-14,TEML,Policy Iteration,BUY,1647.5,2,96689.54285,100041.44284999999,0.0005526013123070027,1
2025-01-15,TEML,Policy Iteration,BUY,1675.95,3,95011.9169,100074.8669,0.0003341020385933133,1
2025-01-16,TEML,Policy Iteration,BUY,1687.65,4,93322.57925,99963.77924999999,-0.0011100454433879573,1
2025-01-17,TEML,Policy Iteration,BUY,1660.3,5,91660.61894999999,100033.61894999999,0.0006986500562902319,1
2025-01-20,TEML,Policy Iteration,SELL,1674.6,4,93333.54434999998,99895.54434999998,-0.0013802819636968377,1
2025-01-21,TEML,Policy Iteration,SELL,1640.5,3,94972.40384999999,100024.25385,0.001288440849264082,1
2025-01-27,TEML,Policy Iteration,BUY,1653.9,4,93316.84994999999,99910.24994999998,-0.00023869629166641985,1
2025-01-28,TEML,Policy Iteration,BUY,1648.35,5,91666.8516,100072.6016,0.001624974915799532,1
2025-01-30,TEML,Policy Iteration,BUY,1670.1,6,89995.0815,100041.7815,0.0002442566175687741,1
2025-02-01,TEML,Policy Iteration,BUY,1646.4,7,88347.0351,99929.93509999999,0.0005652511472726968,1
2025-02-03,TEML,Policy Iteration,BUY,1654.7,8,86690.6804,99963.08039999999,0.0003316853950403874,1
2025-02-04,TEML,Policy Iteration,BUY,1659.05,9,85029.97134999999,99978.97134999999,0.00015896819042003917,1
2025-02-05,TEML,Policy Iteration,BUY,1661.0,10,83367.31035,100063.31035,0.0008435673908342049,1
2025-02-06,TEML,Policy Iteration,SELL,1669.6,9,85035.24075,100264.14074999999,0.00200703334016764,1
2025-02-07,TEML,Policy Iteration,SELL,1692.1,8,86725.64865,100318.04865,0.0005376588239500334,1
2025-02-10,TEML,Policy Iteration,SELL,1699.05,7,88422.99960000001,100106.6996,-0.0021067898832179866,1
2025-02-11,TEML,Policy Iteration,SELL,1669.1,6,90090.43050000002,100171.63050000001,0.000648616928332004,1
2025-02-12,TEML,Policy Iteration,SELL,1680.2,5,91768.95030000001,100145.45030000001,-0.0002613534377879824,1
2025-02-13,TEML,Policy Iteration,SELL,1675.3,4,93442.57500000001,100078.975,-0.0006637875190622166,1
2025-02-14,TEML,Policy Iteration,SELL,1659.1,3,95100.01590000001,100094.86590000002,0.00015878360065151606,1
2025-02-17,TEML,Policy Iteration,SELL,1664.95,2,96763.30095000002,100173.30095000002,0.0007836071240493068,1
2025-02-18,TEML,Policy Iteration,SELL,1705.0,1,98466.59595000002,100152.39595000002,-0.00020868834112228415,1
2025-02-19,TEML,Policy Iteration,SELL,1685.8,0,100150.71015000001,100150.71015000001,-1.6832348183144643e-05,0
2025-03-21,TEML,Policy Iteration,BUY,1409.25,1,98740.05090000002,100198.70090000001,0.0004791853190867983,1
2025-03-24,TEML,Policy Iteration,BUY,1458.65,2,97279.94225000002,100190.94225000002,-7.743264064603103e-05,1
2025-03-25,TEML,Policy Iteration,BUY,1455.5,3,95822.98675000003,100071.88675000002,-0.001188286059860887,1
2025-03-27,TEML,Policy Iteration,BUY,1423.9,4,94397.66285000002,100070.66285000002,-0.00024001174068313005,1
2025-03-28,TEML,Policy Iteration,BUY,1418.25,5,92977.99460000002,99953.74460000002,-0.0011683569057122762,1
2025-04-01,TEML,Policy Iteration,SELL,1395.15,4,94371.74945000002,100063.94945000001,0.0011025584928410436,1
2025-04-02,TEML,Policy Iteration,BUY,1423.05,5,92947.27640000002,99794.02640000002,-0.002697505460094525,1
2025-04-03,TEML,Policy Iteration,BUY,1369.35,6,91576.55705000002,99502.25705000001,-0.0029237155822385203,1
2025-04-04,TEML,Policy Iteration,BUY,1320.95,7,90254.28610000001,99270.28610000001,-0.002331313448331498,1
2025-04-08,TEML,Policy Iteration,BUY,1314.4,8,88938.57170000001,99120.57170000001,-0.0033634720265955306,1
2025-04-09,TEML,Policy Iteration,BUY,1272.75,9,87664.54895000001,99204.79895000001,0.0008497454015390457,1
