Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TISC,SARSA,BUY,136.74,1,99863.12326,100001.30325999999,1.3032599999860395e-05,1
2025-01-02,TISC,SARSA,BUY,138.18,2,99724.80507999999,100001.52507999999,2.218171091524621e-06,1
2025-01-03,TISC,SARSA,BUY,138.36,3,99586.30672,99982.84671999999,-0.0001867807514441693,1
2025-01-06,TISC,SARSA,BUY,132.18,4,99453.99454,99987.51454,4.668620821618617e-05,1
2025-01-07,TISC,SARSA,BUY,133.38,5,99320.48116,99983.68116,-3.833858674902259e-05,1
2025-01-08,TISC,SARSA,BUY,132.64,6,99187.70852,99967.28852,-0.00016395315525299004,1
2025-01-09,TISC,SARSA,BUY,129.93,7,99057.64859,99949.65858999999,-0.00017635698898127984,1
2025-01-10,TISC,SARSA,BUY,127.43,8,98930.09116,99913.53116,-0.000361456262178846,1
2025-01-13,TISC,SARSA,BUY,122.93,9,98807.03822999999,99949.40822999999,0.0003590811933424186,1
2025-01-14,TISC,SARSA,BUY,126.93,10,98679.98129999998,99945.28129999999,-4.129018943765825e-05,1
2025-01-15,TISC,SARSA,BUY,126.53,11,98553.32476999999,99959.23477,0.0001396110933754274,1
2025-01-16,TISC,SARSA,BUY,127.81,12,98425.38695999999,99988.74695999999,0.00029524225618473096,1
2025-01-17,TISC,SARSA,BUY,130.28,13,98294.97667999999,100006.55668,0.0001781172436047172,1
2025-01-20,TISC,SARSA,BUY,131.66,14,98163.18501999999,99978.98502,-0.0002756985233300748,1
2025-01-21,TISC,SARSA,BUY,129.7,15,98033.35531999999,99967.15531999999,-0.00011832186531635235,1
2025-01-22,TISC,SARSA,BUY,128.92,16,97904.30639999999,99990.22639999999,0.00023078660112056348,1
2025-01-23,TISC,SARSA,BUY,130.37,17,97773.80602999999,99979.38603,-0.00010841429597953986,1
2025-01-24,TISC,SARSA,BUY,129.74,18,97643.93629,99918.59629,-0.0006080227376246561,1
2025-01-27,TISC,SARSA,BUY,126.37,19,97517.43992,99961.21992,0.00042658355483990825,1
2025-01-28,TISC,SARSA,BUY,128.62,20,97388.6913,100004.6913,0.00043488244776117453,1
2025-01-31,TISC,SARSA,BUY,134.62,21,97253.93668,100046.30668,-0.00034756435554580945,1
2025-02-11,TISC,SARSA,BUY,130.11,22,97123.69657,100033.85657,0.0004761643884121344,1
2025-02-14,TISC,SARSA,BUY,134.47,23,96989.0921,100077.76209999999,-4.270966245790026e-05,1
2025-03-05,TISC,SARSA,BUY,146.1,24,96842.84599999999,100453.40599999999,0.0010365174897755142,1
2025-03-06,TISC,SARSA,BUY,150.44,25,96692.25555999999,100481.25555999999,0.0002772385836275416,1
2025-03-07,TISC,SARSA,BUY,151.56,26,96540.544,100467.844,-0.00013347325255091776,1
2025-04-03,TISC,SARSA,BUY,153.62,27,96386.77037999999,100177.30037999999,-0.003554630868413742,1
2025-04-04,TISC,SARSA,BUY,140.39,28,96246.23998999999,99871.67998999999,-0.0030507948291748173,1
2025-04-07,TISC,SARSA,SELL,129.48,27,96375.59051,99893.15050999999,0.00021498106372249264,1
