Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,TITN,Monte Carlo,BUY,3388.95,1,96607.66105,100059.31104999999,0.0005931104999998934,1
2025-01-13,TITN,Monte Carlo,BUY,3382.75,2,93221.52829999999,99866.52829999999,-0.0012389463019414633,1
2025-01-14,TITN,Monte Carlo,BUY,3322.5,3,89895.7058,99866.2058,-3.2293102151901013e-06,1
2025-01-15,TITN,Monte Carlo,BUY,3323.5,4,86568.8823,99836.4823,-0.0002976332159801828,1
2025-01-16,TITN,Monte Carlo,BUY,3316.9,5,83248.6654,100035.6654,0.001995093330727206,1
2025-01-17,TITN,Monte Carlo,BUY,3357.4,6,79887.908,100181.408,0.0014569063885088904,1
2025-01-21,TITN,Monte Carlo,BUY,3353.35,7,76531.20465,100026.35465,0.00018345180917904316,1
2025-01-22,TITN,Monte Carlo,BUY,3356.45,8,73171.3982,100359.79819999999,0.00333355695273252,1
2025-01-28,TITN,Monte Carlo,BUY,3325.9,9,69842.17229999999,100178.92229999999,0.004012123914565058,1
2025-01-29,TITN,Monte Carlo,BUY,3370.75,10,66468.05154999999,100152.05154999999,-0.0002682275810427825,1
2025-01-30,TITN,Monte Carlo,BUY,3368.4,11,63096.28314999999,101489.03314999999,0.013349517851189732,1
2025-02-01,TITN,Monte Carlo,BUY,3552.0,12,59540.73114999999,102504.33115,0.0032891616619086725,1
2025-02-03,TITN,Monte Carlo,BUY,3580.3,13,55956.850849999995,102726.95085,0.0021718077421940783,1
2025-02-04,TITN,Monte Carlo,BUY,3597.7,14,52355.55314999999,101228.15315,-0.014590111821663162,1
2025-02-10,TITN,Monte Carlo,BUY,3327.45,15,49024.77569999999,98251.7757,-0.00695450243853513,1
2025-02-11,TITN,Monte Carlo,BUY,3281.8,16,45739.69389999999,97826.8939,-0.004324418535674392,1
2025-02-12,TITN,Monte Carlo,BUY,3255.45,17,42480.98844999999,97416.48844999999,-0.004195221105757766,1
2025-02-13,TITN,Monte Carlo,BUY,3231.5,18,39246.25694999999,97084.75694999998,-0.003405291088584799,1
2025-02-14,TITN,Monte Carlo,BUY,3213.25,19,36029.79369999999,97460.59369999998,0.003871223061242904,1
2025-02-17,TITN,Monte Carlo,BUY,3233.2,20,32793.36049999999,97230.36049999998,-0.0023623209264320585,1
2025-02-18,TITN,Monte Carlo,BUY,3221.85,21,29568.288649999988,96984.58864999999,-0.0025277274375629837,1
2025-03-06,TITN,Monte Carlo,BUY,3121.1,22,26444.06754999999,94189.76754999999,-0.00968991319632036,1
2025-03-07,TITN,Monte Carlo,BUY,3079.35,23,23361.63819999999,92978.0382,-0.01286476632779411,1
2025-03-11,TITN,Monte Carlo,BUY,3046.4,24,20312.19179999999,92766.99179999997,-0.0070839626474131796,1
2025-03-12,TITN,Monte Carlo,BUY,3018.95,25,17290.22284999999,92543.97284999999,-0.0024040765543071473,1
2025-03-13,TITN,Monte Carlo,BUY,3010.15,26,14277.062699999991,92728.16269999999,0.001990295470657387,1
2025-03-17,TITN,Monte Carlo,BUY,3017.35,27,11256.69534999999,94462.59534999999,0.018704486312441548,1
2025-03-18,TITN,Monte Carlo,BUY,3081.7,28,8171.913649999991,94308.31365,-0.0016332570519405308,1
2025-03-19,TITN,Monte Carlo,BUY,3076.3,29,5092.537349999991,97692.43735,0.03588362010754708,1
2025-03-20,TITN,Monte Carlo,BUY,3193.1,30,1896.244249999992,96777.24424999999,-0.009368105913062308,1
2025-07-15,TITN,Monte Carlo,SELL,3415.0,29,5307.829249999992,104409.52925,0.0006064904439530707,1
2025-07-16,TITN,Monte Carlo,SELL,3417.3,28,8721.711949999992,104854.11195,0.0042580663201294815,1
2025-07-17,TITN,Monte Carlo,SELL,3433.3,27,12151.578649999992,104029.87865,-0.007860762774787939,1
2025-07-18,TITN,Monte Carlo,SELL,3402.9,26,15551.075749999993,104809.07574999999,0.00749012793354816,1
2025-07-21,TITN,Monte Carlo,SELL,3433.0,25,18980.64274999999,105790.64275,0.009365286288196373,1
2025-07-22,TITN,Monte Carlo,SELL,3472.4,24,22449.57034999999,105763.17035,-0.0002596864834720814,1
2025-07-24,TITN,Monte Carlo,BUY,3484.4,25,18961.685949999992,105531.68594999998,-0.005123577913726308,1
2025-07-25,TITN,Monte Carlo,BUY,3462.8,26,15495.423149999991,103713.42314999999,-0.01722954374917761,1
2025-07-28,TITN,Monte Carlo,BUY,3393.0,27,12099.030149999991,103337.43014999999,-0.003625307010223799,1
2025-07-29,TITN,Monte Carlo,BUY,3379.2,28,8716.450949999991,103258.45095,-0.0007642845374163491,1
2025-07-30,TITN,Monte Carlo,BUY,3376.5,29,5336.574449999991,102408.27445,-0.008233481058239732,1
2025-07-31,TITN,Monte Carlo,BUY,3347.3,30,1985.9271499999913,101465.92714999999,-0.009201866793098852,1
2026-03-23,TITN,Monte Carlo,SELL,3853.1,29,5835.174049999991,118920.67404999999,0.011411457244275412,1
2026-03-24,TITN,Monte Carlo,BUY,3899.5,30,1931.774549999992,123110.77454999999,0.03523441599597964,1
2026-05-12,TITN,Monte Carlo,SELL,4055.3,29,5983.019249999992,124613.31924999999,0.00827363291251417,1
2026-05-13,TITN,Monte Carlo,BUY,4090.7,30,1888.2285499999925,125944.22855,0.01068031337268158,1
2026-05-29,TITN,Monte Carlo,SELL,4074.9,29,5959.053649999993,122672.45364999998,-0.011783721003992291,1
2026-06-01,TITN,Monte Carlo,BUY,4024.6,30,1930.429049999993,124273.42904999999,0.013050814199639273,1
