Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-02-01,TREN,Double Q-Learning,BUY,4126.34,1,95869.53366,99959.60366000001,-0.0004039633999999205,1
2025-02-03,TREN,Double Q-Learning,SELL,4090.07,0,99955.51359,99955.51359,-4.0917229063027404e-05,0
2025-03-13,TREN,Double Q-Learning,BUY,3348.27,1,96603.89532,100043.59532,0.0008812093183902451,1
2025-03-17,TREN,Double Q-Learning,SELL,3439.7,0,100040.15561999999,100040.15561999999,-3.438201105228563e-05,0
2025-03-18,TREN,Double Q-Learning,BUY,3506.84,1,96529.80877999999,100017.04878,-0.00023097565029550583,1
2025-03-19,TREN,Double Q-Learning,SELL,3487.24,0,100013.56154,100013.56154,-3.486645569469684e-05,0
2025-03-20,TREN,Double Q-Learning,BUY,3481.04,1,96529.0405,99962.4105,-0.0005114410407186567,1
2025-03-21,TREN,Double Q-Learning,SELL,3433.37,0,99958.97713,99958.97713,-3.4346610719224615e-05,0
2025-03-24,TREN,Double Q-Learning,BUY,3369.8,1,96585.80733,100042.50733,0.0008356448054821525,1
2025-03-25,TREN,Double Q-Learning,SELL,3456.7,0,100039.05063,100039.05063,-3.455231273435518e-05,0
2025-03-26,TREN,Double Q-Learning,BUY,3547.97,1,96487.53266,100102.40265999999,0.0006332730029026921,1
2025-03-27,TREN,Double Q-Learning,SELL,3614.87,0,100098.78779,100098.78779,-3.611172063739887e-05,0
2025-03-28,TREN,Double Q-Learning,BUY,3550.1,1,96545.13769,100262.97769,0.0016402786050162374,1
2025-04-01,TREN,Double Q-Learning,BUY,3717.84,2,92823.57985000001,100400.25985,0.0013692208546255322,1
2025-04-02,TREN,Double Q-Learning,BUY,3788.34,3,89031.45151000001,100382.07151000001,-0.00018115829607579778,1
2025-04-03,TREN,Double Q-Learning,BUY,3783.54,4,85244.12797000002,100078.40797000001,-0.003025077440942662,1
2025-04-04,TREN,Double Q-Learning,SELL,3708.57,3,88948.98940000002,98430.90940000002,-0.016462078118727252,1
2025-04-07,TREN,Double Q-Learning,SELL,3160.64,2,92106.46876000002,98462.74876000002,0.0003234691236124871,1
2025-04-08,TREN,Double Q-Learning,SELL,3178.14,1,95281.43062000001,98361.56062000002,-0.0010276794145432748,1
2025-04-09,TREN,Double Q-Learning,SELL,3080.13,0,98358.48049000002,98358.48049000002,-3.131436691922324e-05,0
2025-04-21,TREN,Double Q-Learning,BUY,3573.34,1,94781.56715000002,98330.23715000002,-0.0002871469735939278,1
2025-04-22,TREN,Double Q-Learning,SELL,3548.67,0,98326.68848000001,98326.68848000001,-3.608930582146742e-05,0
2025-04-23,TREN,Double Q-Learning,BUY,3552.67,1,94770.46581000001,98319.46581000001,-7.345584511850973e-05,1
