Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,TREN,Value Iteration,BUY,4712.04,1,95283.24796000001,100163.91796,0.0016391796000000613,1
2025-01-02,TREN,Value Iteration,BUY,4880.67,2,90397.69729000001,100141.29729000002,-0.0002258365133942024,1
2025-01-03,TREN,Value Iteration,BUY,4871.8,3,85521.02549000001,99517.73549000002,-0.006226819672549459,1
2025-01-14,TREN,Value Iteration,SELL,4107.44,2,89624.35805000001,98144.69805,0.003079949469131744,1
2025-01-16,TREN,Value Iteration,SELL,4141.04,1,93761.25701000002,97905.62701000001,-8.283827051151748e-06,1
2025-01-20,TREN,Value Iteration,SELL,4060.0,0,97817.19701000002,97817.19701000002,-4.150427140373619e-05,0
2025-02-01,TREN,Value Iteration,BUY,4126.34,1,93686.73067000002,97776.80067000003,-0.0004129778938141344,1
2025-02-03,TREN,Value Iteration,BUY,4090.07,2,89592.57060000002,97259.65060000002,-0.005289087661452558,1
2025-02-20,TREN,Value Iteration,SELL,3399.67,1,92988.84093000002,96354.31093000002,-0.0003900708033065584,1
2025-02-21,TREN,Value Iteration,SELL,3365.47,0,96350.94546000002,96350.94546000002,-3.492806878614122e-05,0
2025-03-13,TREN,Value Iteration,BUY,3348.27,1,92999.32719000001,96439.02719000001,0.0009141760838927919,1
2025-03-17,TREN,Value Iteration,BUY,3439.7,2,89556.18749000001,96569.86749,0.0013567152615737226,1
2025-03-18,TREN,Value Iteration,BUY,3506.84,3,86045.84065000001,96507.56065000001,-0.0006451996012777193,1
2025-03-19,TREN,Value Iteration,BUY,3487.24,4,82555.11341000002,96479.27341000002,-0.00029310905601042726,1
2025-03-20,TREN,Value Iteration,BUY,3481.04,5,79070.59237000003,96237.44237000003,-0.0025065595070591024,1
2025-03-21,TREN,Value Iteration,BUY,3433.37,6,75633.78900000003,95852.58900000004,-0.00399899831627245,1
2025-03-24,TREN,Value Iteration,BUY,3369.8,7,72260.61920000003,96457.51920000002,0.006311047059980693,1
2025-03-25,TREN,Value Iteration,BUY,3456.7,8,68800.46250000002,97184.22250000002,0.007533920694074761,1
2025-03-26,TREN,Value Iteration,BUY,3547.97,9,65248.94453000002,97782.77453000002,0.006158942414752622,1
