Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ULTC,Monte Carlo,BUY,11447.0,1,88541.553,100339.253,0.0033925299999999696,1
2025-01-02,ULTC,Monte Carlo,BUY,11797.7,2,76732.0553,100304.0553,-0.00035078694476616955,1
2025-01-03,ULTC,Monte Carlo,BUY,11786.0,3,64934.26930000001,99445.0693,-0.008563821247614147,1
2025-01-06,ULTC,Monte Carlo,BUY,11503.6,4,53419.16570000001,99893.36570000001,0.004507980165890503,1
2025-01-07,ULTC,Monte Carlo,BUY,11618.55,5,41788.99715000001,98806.74715000001,-0.010877784949836756,1
2025-01-08,ULTC,Monte Carlo,BUY,11403.55,6,30374.04360000001,97932.8436,-0.008844573626873185,1
2025-01-09,ULTC,Monte Carlo,BUY,11259.8,7,19102.983800000016,95159.38380000003,-0.028320017044822825,1
2025-01-10,ULTC,Monte Carlo,BUY,10865.2,8,8226.918600000017,93148.11860000002,-0.021135752667620872,1
2025-01-23,ULTC,Monte Carlo,SELL,11420.9,7,19636.397700000016,98637.34770000001,-0.009606700811748567,1
2025-01-24,ULTC,Monte Carlo,SELL,11285.85,6,30910.961850000014,98347.96185000002,-0.002933836490414791,1
2025-01-27,ULTC,Monte Carlo,SELL,11239.5,5,42139.22235000001,98620.97235000001,0.0027759650008444925,1
2025-01-28,ULTC,Monte Carlo,SELL,11296.35,4,53424.27600000001,99603.676,0.00996444900697631,1
2025-01-29,ULTC,Monte Carlo,SELL,11544.85,3,64957.58115000001,99395.78115000001,-0.002087220656394217,1
2025-01-30,ULTC,Monte Carlo,SELL,11479.4,2,76425.50175000001,99400.40175000002,4.64868825069774e-05,1
2025-01-31,ULTC,Monte Carlo,SELL,11487.45,1,87901.4643,99160.6143,-0.0024123388414777503,1
2025-02-01,ULTC,Monte Carlo,SELL,11259.15,0,99149.35515,99149.35515,-0.00011354457694195673,0
2025-02-03,ULTC,Monte Carlo,BUY,11174.65,1,87963.53050000001,99482.6805,0.003361850911644574,1
2025-02-04,ULTC,Monte Carlo,SELL,11519.15,0,99471.16135000001,99471.16135000001,-0.00011579050687112121,0
2025-02-06,ULTC,Monte Carlo,BUY,11477.35,1,87982.334,99622.93400000001,0.0015257954963044066,1
2025-02-07,ULTC,Monte Carlo,SELL,11640.6,0,99611.2934,99611.2934,-0.00011684658875850176,0
2025-02-10,ULTC,Monte Carlo,BUY,11532.3,1,88067.4611,99367.6611,-0.00244583010303526,1
2025-02-11,ULTC,Monte Carlo,SELL,11300.2,0,99356.3609,99356.3609,-0.0001137211027703042,0
2025-02-12,ULTC,Monte Carlo,BUY,11478.5,1,87866.3824,99412.8324,0.0005683732726165059,1
2025-02-13,ULTC,Monte Carlo,SELL,11546.45,0,99401.28595,99401.28595,-0.00011614647446655353,0
2025-02-14,ULTC,Monte Carlo,BUY,11263.85,1,88126.17210000001,99616.27210000002,0.0021628105506416896,1
2025-02-17,ULTC,Monte Carlo,SELL,11490.1,0,99604.782,99604.782,-0.00011534360559563628,0
2025-02-18,ULTC,Monte Carlo,BUY,11308.9,1,88284.57310000001,99576.12310000001,-0.0002877261455177413,1
2025-02-19,ULTC,Monte Carlo,BUY,11291.55,2,76981.73155000001,99556.93155000001,-0.0001927324483272957,1
2025-02-20,ULTC,Monte Carlo,BUY,11287.6,3,65682.84395000001,99154.59395000001,-0.004041281643939928,1
2025-02-21,ULTC,Monte Carlo,BUY,11157.25,4,54514.43670000001,98685.03670000001,-0.004735607613266798,1
2025-02-24,ULTC,Monte Carlo,BUY,11042.65,5,43460.744050000016,98281.49405000001,-0.004089197952337621,1
2025-02-25,ULTC,Monte Carlo,BUY,10964.15,6,32485.629900000018,95171.52990000001,-0.031643435827479666,1
2025-02-27,ULTC,Monte Carlo,BUY,10447.65,7,22027.53225000002,92926.68225000003,-0.02358738639967982,1
2025-02-28,ULTC,Monte Carlo,BUY,10128.45,8,11888.95380000002,94615.35380000001,0.01817208479968071,1
2025-03-03,ULTC,Monte Carlo,BUY,10340.8,9,1537.813000000022,94868.71300000003,0.0026777810347311808,1
2025-03-19,ULTC,Monte Carlo,SELL,10933.25,8,12460.129750000022,100045.32975000002,0.0010833493275662423,1
2025-03-20,ULTC,Monte Carlo,SELL,10948.15,7,23397.33160000002,100234.58160000002,0.0018916610147911529,1
2025-03-21,ULTC,Monte Carlo,SELL,10976.75,6,34363.10485000002,100670.30485000003,0.0043470351553800465,1
2025-03-24,ULTC,Monte Carlo,SELL,11051.2,5,45403.25365000002,102509.25365000003,0.018267043123988292,1
2025-03-25,ULTC,Monte Carlo,SELL,11421.2,4,56813.03245000002,102421.43245000002,-0.0008567148513231395,1
2025-03-26,ULTC,Monte Carlo,SELL,11402.1,3,68203.73035000003,103002.53035000003,0.005673596688697824,1
2025-03-27,ULTC,Monte Carlo,SELL,11599.6,2,79791.73075000003,102810.83075000002,-0.0018611154439470247,1
2025-03-28,ULTC,Monte Carlo,BUY,11509.55,3,68270.67120000004,102406.62120000004,-0.00393158529165941,1
2025-04-01,ULTC,Monte Carlo,BUY,11378.65,4,56880.64255000004,101884.44255000004,-0.005099071172167542,1
2025-04-02,ULTC,Monte Carlo,BUY,11250.95,5,45618.44160000004,103651.44160000005,0.01734316845413228,1
2025-04-03,ULTC,Monte Carlo,BUY,11606.6,6,34000.235000000044,102992.13500000004,-0.006360804922948708,1
2025-04-04,ULTC,Monte Carlo,BUY,11498.65,7,22490.086350000045,100831.28635000004,-0.02098071517791139,1
2025-04-07,ULTC,Monte Carlo,SELL,11191.6,6,33670.49475000004,101293.19475000005,0.004581002749450837,1
2025-04-08,ULTC,Monte Carlo,SELL,11270.45,5,44929.67430000004,101914.92430000004,0.006137920237726423,1
2025-04-09,ULTC,Monte Carlo,SELL,11397.05,4,56315.327250000046,102325.92725000004,0.004032804349539162,1
2025-04-11,ULTC,Monte Carlo,SELL,11502.65,3,67806.47460000005,102963.47460000005,0.006230555316077116,1
2025-04-15,ULTC,Monte Carlo,SELL,11719.0,2,79513.75560000005,102969.75560000005,6.100221485729343e-05,1
2025-04-16,ULTC,Monte Carlo,SELL,11728.0,1,91230.02760000004,103131.02760000004,0.0015662074660687758,1
2025-04-17,ULTC,Monte Carlo,SELL,11901.0,0,103119.12660000005,103119.12660000005,-0.00011539689147825397,0
2025-04-21,ULTC,Monte Carlo,BUY,11934.0,1,91173.19260000005,103132.19260000005,0.00012670782260103204,1
2025-04-22,ULTC,Monte Carlo,BUY,11959.0,2,79202.23360000005,103100.23360000005,-0.00030988384125562116,1
